"MSFD","area_km2","PctHabExt","avgweight","avgvalue","sweptarea","avgsar","propswept","eff_fish","propUnfished"
"Circalittoral mixed sediment",99.58,28.9,3.2,1.92,2.63,0.03,1.8,"2.9",90.4
"Circalittoral mud or Circalittoral sand",49.41,14.3,1.11,1.19,0.87,0.02,1.6,"6.2",86.2
"Offshore circalittoral mud or Offshore circalittoral sand",29.71,8.6,0.66,0.53,1.43,0.05,4.3,"8",77.3
"Circalittoral sand",27.92,8.1,3.15,3.06,8.52,0.31,16.9,"16.9",54.5
"Circalittoral mud",27.69,8,2.57,2.9,6.16,0.22,10.7,"10.3",79.3
"Offshore circalittoral mud",21.32,6.2,5.62,4.2,12.45,0.58,34.3,"32.3",41.3
"Infralittoral sand",20.94,6.1,7.05,2.85,8.09,0.39,21.5,"22.1",40.6
"Offshore circalittoral mixed sediment",18.11,5.3,3.13,2.79,8.85,0.49,20.7,"17.5",58.4
"Infralittoral mixed sediment",17.02,4.9,1.97,0.97,0.56,0.03,2,"4",86.1
"Circalittoral coarse sediment",9.81,2.8,0.3,0.15,0.29,0.03,2,"4.2",84
"Circalittoral rock and biogenic reef",6.53,1.9,0.01,0,0.01,0,0.2,"1.4",97.4
"Infralittoral coarse sediment",6.49,1.9,0.24,0.19,0.33,0.05,4,"10",74.6
"Infralittoral rock and biogenic reef",3.41,1,0,0,0.01,0,0.2,"4.3",93.8
"Offshore circalittoral sand",2.02,0.6,1.18,0.83,2.43,1.2,54.6,"47.6",11.5
"Infralittoral mud",1.99,0.6,0.72,0.18,0.21,0.11,6.6,"13.4",68.5
"Infralittoral mud or Infralittoral sand",1.69,0.5,0.01,0.05,0.01,0,0.3,"1.6",97.4
"Offshore circalittoral coarse sediment",0.58,0.2,0.01,0,0,0.01,0.6,"10.6",84.9
"Offshore circalittoral rock and biogenic reef",0.16,0,0,0,0,0,0.1,"0.1",99.2
