"MSFD","HabExt","SweptArea","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"total",344.38,100,"0.0","<0.1","<0.1","0.2","0.6","   2.1","   5.4","  12.8","31.3"
"Circalittoral mixed sediment",99.58,2.63,"0.0","   0.0","   0.0","0.0","0.0","   0.0","   0.0","   0.0"," 0.0"
"Circalittoral mud or Circalittoral sand",49.41,0.87,"0.0","   0.0","   0.0","0.0","0.0","   0.0","   0.0","   0.0"," 2.4"
"Offshore circalittoral mud or Offshore circalittoral sand",29.71,1.43,"0.0","   0.0","   0.0","0.0","0.0","   0.0","   0.0","   0.4"," 5.4"
"Circalittoral sand",27.92,8.52,"0.0","   0.0","   0.0","0.0","0.0","   0.2","   1.4","   6.1","27.4"
"Circalittoral mud",27.69,6.16,"0.0","   0.0","   0.0","0.0","0.0","   0.0","   0.0","<0.1","10.8"
"Offshore circalittoral mud",21.32,12.45,"0.0","   0.0","   0.0","0.0","0.7","   4.2","  12.3","  27.2","52.3"
"Infralittoral sand",20.94,8.09,"0.0","   0.0","   0.0","0.0","0.3","   1.5","   4.6","  12.5","33.3"
"Offshore circalittoral mixed sediment",18.11,8.85,"0.0","   0.0","   0.0","0.0","0.0","<0.1","   0.8","   6.7","27.6"
"Infralittoral mixed sediment",17.02,0.56,"0.0","   0.0","   0.0","0.0","0.0","   0.0","   0.0","   0.0"," 1.3"
"Circalittoral coarse sediment",9.81,0.29,"0.0","   0.0","   0.0","0.0","0.0","   0.0","   0.0","   0.0"," 3.2"
"Circalittoral rock and biogenic reef",6.53,0.01,"0.0","   0.0","   0.0","0.0","0.0","   0.0","   0.0","   0.0"," 0.0"
"Infralittoral coarse sediment",6.49,0.33,"0.0","   0.0","   0.0","0.0","0.0","   0.0","   0.0","   1.2","10.2"
"Infralittoral rock and biogenic reef",3.41,0.01,"0.0","   0.0","   0.0","0.0","0.0","   0.0","   0.0","   0.0"," 0.0"
"Offshore circalittoral sand",2.02,2.43,"0.0","   0.2","   1.3","3.7","9.1","  18.1","  32.4","  50.4","69.8"
"Infralittoral mud",1.99,0.21,"0.0","   0.0","   0.0","0.0","0.0","   0.0","<0.1","   3.0","17.1"
"Infralittoral mud or Infralittoral sand",1.69,0.01,"0.0","   0.0","   0.0","0.0","0.0","   0.0","   0.0","   0.0"," 0.0"
"Offshore circalittoral coarse sediment",0.58,0,"0.0","   0.0","   0.0","0.0","0.0","   0.0","   0.0","   0.0","11.6"
"Offshore circalittoral rock and biogenic reef",0.16,0,"0.0","   0.0","   0.0","0.0","0.0","   0.0","   0.0","   0.0"," 0.0"
