"MSFD","HabExt","TotVal","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",344.38,21830.6,"0.0","<0.1","<0.1","0.2","0.7","   2.6"," 6.9","  14.6","31.2"
"Circalittoral mixed sediment",99.58,1920.1,"0.0","   0.0","   0.0","0.0","0.0","   0.0"," 0.0","   0.0"," 0.0"
"Circalittoral mud or Circalittoral sand",49.41,1192.9,"0.0","   0.0","   0.0","0.0","0.0","   0.0"," 0.0","   0.0"," 2.5"
"Offshore circalittoral mud or Offshore circalittoral sand",29.71,534.1,"0.0","   0.0","   0.0","0.0","0.0","   0.0"," 0.0","   1.1","10.9"
"Circalittoral sand",27.92,3063.4,"0.0","   0.0","   0.0","0.0","0.0","   0.5"," 2.1","   8.1","32.5"
"Circalittoral mud",27.69,2899,"0.0","   0.0","   0.0","0.0","0.0","   0.0"," 0.0","<0.1","13.5"
"Offshore circalittoral mud",21.32,4196.1,"0.0","   0.0","   0.0","0.0","0.8","   4.5","13.4","  29.0","53.8"
"Infralittoral sand",20.94,2851.6,"0.0","   0.0","   0.0","0.0","1.4","   7.2","19.9","  38.0","55.9"
"Offshore circalittoral mixed sediment",18.11,2794.3,"0.0","   0.0","   0.0","0.0","0.0","<0.1"," 1.3","   7.4","28.6"
"Infralittoral mixed sediment",17.02,970.7,"0.0","   0.0","   0.0","0.0","0.0","   0.0"," 0.0","   0.0"," 1.7"
"Circalittoral coarse sediment",9.81,151.3,"0.0","   0.0","   0.0","0.0","0.0","   0.0"," 0.0","   0.0"," 6.0"
"Circalittoral rock and biogenic reef",6.53,4.2,"0.0","   0.0","   0.0","0.0","0.0","   0.0"," 0.0","   0.0"," 0.0"
"Infralittoral coarse sediment",6.49,189.6,"0.0","   0.0","   0.0","0.0","0.0","   0.0"," 0.0","   3.5","14.6"
"Infralittoral rock and biogenic reef",3.41,2,"0.0","   0.0","   0.0","0.0","0.0","   0.0"," 0.0","   0.0"," 0.0"
"Offshore circalittoral sand",2.02,826,"0.0","   0.3","   1.3","4.1","9.8","  19.0","32.9","  49.9","68.2"
"Infralittoral mud",1.99,179.5,"0.0","   0.0","   0.0","0.0","0.0","   0.0"," 0.1","   9.3","32.2"
"Infralittoral mud or Infralittoral sand",1.69,53.5,"0.0","   0.0","   0.0","0.0","0.0","   0.0"," 0.0","   0.0"," 0.0"
"Offshore circalittoral coarse sediment",0.58,2.4,"0.0","   0.0","   0.0","0.0","0.0","   0.0"," 0.0","   0.0","19.6"
"Offshore circalittoral rock and biogenic reef",0.16,0.1,"0.0","   0.0","   0.0","0.0","0.0","   0.0"," 0.0","   0.0"," 0.0"
