"MSFD","area_km2","PctHabExt","avgweight","avgvalue","sweptarea","avgsar","propswept","eff_fish","propUnfished"
"Offshore circalittoral sand",34.97,20.4,15.64,NA,84.68,2.42,84.6,68.7,3.7
"Offshore circalittoral mud",31.48,18.3,14.89,NA,121.86,3.87,74.6,54.5,16.4
"Upper bathyal sediment",26.4,15.4,21.61,NA,53.25,2.02,51.4,35.3,19.7
"Circalittoral sand",16.24,9.5,3.75,NA,46.18,2.84,59.7,44.3,26.5
"Offshore circalittoral coarse sediment",11.92,6.9,3.67,NA,33.49,2.81,90.8,74.8,1.1
"Circalittoral coarse sediment",8.54,5,4.24,NA,51.68,6.05,83.8,61.2,3.9
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",8.4,4.9,0.5,NA,3.8,0.45,22.1,21.7,40.9
"Offshore circalittoral rock and biogenic reef",7,4.1,2.4,NA,10.7,1.53,57.7,50.5,18.1
"Circalittoral rock and biogenic reef",6.88,4,0.66,NA,4.21,0.61,24.6,23.2,47.1
"Circalittoral mud",6.26,3.6,2.1,NA,31.11,4.97,48.4,27.9,32.9
"Offshore circalittoral mixed sediment",3.36,2,2.34,NA,22.13,6.59,80.5,60.9,14.2
"Circalittoral mixed sediment",2.97,1.7,0.2,NA,2.72,0.92,11.9,8.3,79.3
"Infralittoral sand",1.91,1.1,0.11,NA,0.94,0.49,10,5.9,64.5
"Infralittoral rock and biogenic reef",1.65,1,0.02,NA,0.15,0.09,5.9,12.4,66.1
"Upper bathyal rock and biogenic reef",1.23,0.7,0.89,NA,1.54,1.26,40.6,34,37.6
"Infralittoral mud",0.56,0.3,0.02,NA,0.11,0.21,5.9,4.7,62.1
"Lower bathyal sediment",0.5,0.3,0.03,NA,0.05,0.1,7.4,26.7,28.3
"Infralittoral coarse sediment",0.45,0.3,0.02,NA,0.12,0.27,11.4,15.2,41.6
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",0.34,0.2,0.01,NA,0.02,0.07,6.4,34.6,43.2
"Unknown",0.31,0.2,0.14,NA,0.15,0.48,27.3,27.8,56.9
"Infralittoral mixed sediment",0.3,0.2,0.02,NA,0.2,0.66,15.2,8.8,52.3
"Lower bathyal rock and biogenic reef",0.04,0,0,NA,0,0.04,3.7,NA,30.5
"Abyssal",0.01,0,0,NA,0,0.01,1.3,NA,3.4
