"MSFD","HabExt","SweptArea","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"total",171.68,100,"   1625.3","6951.0","  18532.7","  38667.8","  67048.6"," 102804.8"," 147613.6"," 207872.7"," 293672.7"
"Offshore circalittoral sand",34.97,84.68,"    526.7","3408.8","   7875.8","  13714.4","  21261.7","  29782.6","  39746.5","  51197.4","  65190.5"
"Offshore circalittoral mud",31.48,121.86,"      0.0"," 119.4","   2623.0","   8174.6","  16147.0","  25989.0","  37028.9","  50979.1","  71381.3"
"Upper bathyal sediment",26.4,53.25,"      0.0","   0.8","     87.5","    502.4","   1568.5","   3836.0","   7974.9","  15199.3","  27325.6"
"Circalittoral sand",16.24,46.18,"      0.0","   0.0","     32.4","    752.4","   3180.9","   6807.0","  11573.0","  17791.7","  26963.3"
"Offshore circalittoral coarse sediment",11.92,33.49,"   1036.4","2611.4","   4279.5","   6554.3","   9131.8","  12060.9","  15467.0","  19328.8","  24277.6"
"Circalittoral coarse sediment",8.54,51.68,"     62.3"," 708.4","   2514.7","   5969.3","  10272.9","  14824.3","  20209.6","  27103.1","  35846.4"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",8.4,3.8,"      0.0","   0.0","      3.1","     16.2","     41.9","     80.5","    156.8","    270.9","    501.2"
"Offshore circalittoral rock and biogenic reef",7,10.7,"      0.0","   9.7","    123.1","    539.5","   1250.6","   2234.5","   3550.9","   5344.5","   7339.7"
"Circalittoral rock and biogenic reef",6.88,4.21,"      0.0","   0.0","      0.0","      1.0","     33.5","    146.8","    347.8","    842.1","   1795.9"
"Circalittoral mud",6.26,31.11,"      0.0","   0.0","      0.0","     19.1","    229.8","    936.7","   2724.9","   6957.4","  14745.0"
"Offshore circalittoral mixed sediment",3.36,22.13,"      0.0","  89.4","    981.9","   2402.8","   3875.8","   5945.9","   8423.7","  12078.8","  16872.6"
"Circalittoral mixed sediment",2.97,2.72,"      0.0","   0.0","      0.0","      0.0","      0.0","      0.0","      0.0","      0.5","    132.0"
"Infralittoral sand",1.91,0.94,"      0.0","   0.0","      0.0","      0.0","      0.0","<0.1","      2.4","     11.5","     61.4"
"Infralittoral rock and biogenic reef",1.65,0.15,"      0.0","   0.0","      0.0","      0.0","      0.0","<0.1","      2.0","      7.9","     32.3"
"Upper bathyal rock and biogenic reef",1.23,1.54,"      0.0","   0.0","      0.0","      2.6","     26.0","    112.2","    314.5","    623.8","   1014.1"
"Infralittoral mud",0.56,0.11,"      0.0","   0.0","      0.0","      0.0","      0.0","<0.1","      0.8","      1.8","      3.9"
"Lower bathyal sediment",0.5,0.05,"      0.0","   0.0","      0.0","<0.1","      0.6","      1.2","      3.8","      6.7","     13.3"
"Infralittoral coarse sediment",0.45,0.12,"      0.0","   0.0","      0.0","<0.1","      0.5","      2.1","      4.8","      8.8","     16.7"
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",0.34,0.02,"      0.0","   0.0","<0.1","      1.2","      1.2","      2.3","      2.6","      3.8","      7.9"
"Unknown",0.31,0.15,"<0.1","   3.1","     11.6","     18.1","     25.8","     42.3","     78.1","    108.0","    108.0"
"Infralittoral mixed sediment",0.3,0.2,"      0.0","   0.0","      0.0","      0.0","<0.1","      0.2","      0.5","      6.8","     44.1"
"Abyssal",0.01,0,"      0.0","   0.0","      0.0","      0.0","<0.1","<0.1","<0.1","<0.1","<0.1"
