"MSFD","HabExt","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",171.68,"   324.2","1342.5","  3644.3","  7866.8"," 14003.2"," 22318.7"," 32837.7"," 46243.5","65819.4"
"Offshore circalittoral sand",34.97,"    84.8"," 503.6","  1193.4","  1929.8","  2914.5","  4171.9","  5630.6","  7116.1"," 9293.9"
"Offshore circalittoral mud",31.48,"     0.0","  10.6","   345.9","  1274.3","  2889.2","  4976.2","  7364.5"," 10751.7","17014.8"
"Upper bathyal sediment",26.4,"     0.0","   0.4","     6.4","    51.3","   152.2","   387.5","   724.9","   848.2","  945.9"
"Circalittoral sand",16.24,"     0.0","   0.0","    22.6","   257.6","  1074.0","  2311.9","  4066.4","  6155.9"," 9285.1"
"Offshore circalittoral coarse sediment",11.92,"   210.1"," 526.8","   899.7","  1435.5","  2010.5","  2698.0","  3513.8","  4361.7"," 5612.1"
"Circalittoral coarse sediment",8.54,"    29.2"," 288.7","   966.8","  2258.8","  3729.2","  5285.0","  7000.1","  9525.6","12441.5"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",8.4,"     0.0","   0.0","     0.2","     1.0","     1.0","     1.0","     3.6","     3.9","    6.7"
"Offshore circalittoral rock and biogenic reef",7,"     0.0","   1.0","     8.8","    66.2","   173.0","   327.5","   578.9","  1033.3"," 1505.8"
"Circalittoral rock and biogenic reef",6.88,"     0.0","   0.0","     0.0","     1.1","    13.6","    50.6","   119.1","   284.1","  718.7"
"Circalittoral mud",6.26,"     0.0","   0.0","     0.0","     8.5","    85.2","   379.0","  1027.8","  1617.7"," 2147.4"
"Offshore circalittoral mixed sediment",3.36,"     0.0","  10.6","   195.8","   575.5","   950.1","  1708.6","  2765.0","  4471.9"," 6715.8"
"Circalittoral mixed sediment",2.97,"     0.0","   0.0","     0.0","     0.0","     0.0","     0.0","     0.0","<0.1","   24.7"
"Infralittoral sand",1.91,"     0.0","   0.0","     0.0","     0.0","     0.0","<0.1","     3.5","    11.2","   22.0"
"Infralittoral rock and biogenic reef",1.65,"     0.0","   0.0","     0.0","     0.0","     0.0","<0.1","     3.7","     7.0","   18.1"
"Upper bathyal rock and biogenic reef",1.23,"     0.0","   0.0","     0.0","<0.1","<0.1","<0.1","     0.1","     0.1","    0.1"
"Infralittoral mud",0.56,"     0.0","   0.0","     0.0","     0.0","     0.0","<0.1","     1.3","     2.6","    3.3"
"Lower bathyal sediment",0.5,"     0.0","   0.0","     0.0","<0.1","     0.3","     0.3","     0.4","     0.8","    0.8"
"Infralittoral coarse sediment",0.45,"     0.0","   0.0","     0.0","<0.1","     1.0","     3.1","     5.4","     6.9","   18.0"
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",0.34,"     0.0","   0.0","<0.1","<0.1","<0.1","     0.1","     0.1","     0.1","    0.1"
"Unknown",0.31,"<0.1","   0.8","     4.8","     7.1","     9.4","    17.7","    28.5","    42.5","   42.5"
"Infralittoral mixed sediment",0.3,"     0.0","   0.0","     0.0","     0.0","<0.1","<0.1","<0.1","     1.9","    1.9"
"Abyssal",0.01,"     0.0","   0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","    0.0"
