"MSFD","HabExt","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",171.68," 363.0","1434.4","3462.2","6979.4","11794.0","17347.2","24255.7","34145.4","48190.6"
"Offshore circalittoral sand",34.97," 109.1"," 731.5","1621.1","3024.2"," 4512.4"," 6178.8"," 7933.3","10018.5","12535.0"
"Offshore circalittoral mud",31.48,"   0.0","  18.3"," 496.4","1463.3"," 2943.0"," 4536.8"," 6242.7"," 8188.3","11379.8"
"Upper bathyal sediment",26.4,"   0.0","   0.3","  22.6"," 139.8","  461.4"," 1044.1"," 2339.5"," 5352.6","10034.2"
"Circalittoral sand",16.24,"   0.0","   0.0","  19.1"," 144.6","  502.2","  861.3"," 1248.2"," 1705.7"," 2392.6"
"Offshore circalittoral coarse sediment",11.92," 237.7"," 530.5"," 768.3","1070.1"," 1401.9"," 1780.3"," 2229.4"," 2659.3"," 3084.6"
"Circalittoral coarse sediment",8.54,"  16.2"," 130.9"," 303.9"," 567.6","  877.7"," 1194.7"," 1547.7"," 2073.4"," 2696.9"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",8.4,"   0.0","   0.0","   0.8","   4.2","    7.9","   15.1","   35.3","   52.8","  112.1"
"Offshore circalittoral rock and biogenic reef",7,"   0.0","   2.5","  31.1"," 158.5","  335.9","  587.8","  954.0"," 1403.5"," 1869.8"
"Circalittoral rock and biogenic reef",6.88,"   0.0","   0.0","   0.0","   0.4","    7.8","   32.4","   75.3","  196.6","  397.1"
"Circalittoral mud",6.26,"   0.0","   0.0","   0.0","   7.4","   53.0","  123.4","  248.9","  530.5"," 1031.6"
"Offshore circalittoral mixed sediment",3.36,"   0.0","  19.7"," 197.1"," 395.9","  675.1","  931.2"," 1222.7"," 1546.9"," 1933.2"
"Circalittoral mixed sediment",2.97,"   0.0","   0.0","   0.0","   0.0","    0.0","    0.0","    0.0"," -100.0","   14.9"
"Infralittoral sand",1.91,"   0.0","   0.0","   0.0","   0.0","    0.0"," -100.0","    1.9","   15.3","   34.8"
"Infralittoral rock and biogenic reef",1.65,"   0.0","   0.0","   0.0","   0.0","    0.0"," -100.0","    1.0","    2.3","    7.7"
"Upper bathyal rock and biogenic reef",1.23,"   0.0","   0.0","   0.0","   0.9","   11.6","   52.3","  130.4","  306.3","  556.3"
"Infralittoral mud",0.56,"   0.0","   0.0","   0.0","   0.0","    0.0"," -100.0","    1.1","    3.9","    6.4"
"Lower bathyal sediment",0.5,"   0.0","   0.0","   0.0","<0.1","    0.2","    0.4","    1.5","    2.8","    9.6"
"Infralittoral coarse sediment",0.45,"   0.0","   0.0","   0.0","<0.1","    0.3","    1.8","    3.3","    7.3","    9.8"
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",0.34,"   0.0","   0.0","<0.1","   0.5","    0.5","    0.8","    1.0","    1.8","    2.4"
"Unknown",0.31,"<0.1","   0.7","   1.7","   2.1","    2.9","    5.2","   36.9","   73.2","   73.2"
"Infralittoral mixed sediment",0.3,"   0.0","   0.0","   0.0","   0.0"," -100.0","    0.6","    1.7","    4.2","    8.8"
"Abyssal",0.01,"   0.0","   0.0","   0.0","   0.0"," -100.0"," -100.0"," -100.0"," -100.0"," -100.0"
