"MSFD","HabExt","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",268.3,"   852.5","  5802.3"," 12948.9"," 23263.2"," 36441.2"," 52222.0","71843.5","97418.4","133140.6"
"Offshore circalittoral sand",55.42,"   462.1","  2953.2","  5532.8","  8128.4"," 10993.6"," 14122.0","17497.0","21748.4"," 27221.4"
"Upper bathyal sediment",54.71,"    57.7","  1227.0","  3440.5","  5951.6"," 10538.8"," 16681.7","23202.2","31596.0"," 43495.4"
"Offshore circalittoral coarse sediment",51.99,"     3.8","   169.2","   881.4","  3228.9","  6331.6","  9435.6","13759.4","19057.9"," 25792.8"
"Offshore circalittoral mud",31.98,"   327.3","  1437.7","  2991.7","  5532.7","  7573.0","  9810.2","12779.2","16524.4"," 21911.9"
"Unknown",29.57,"     0.0","     0.0","    12.2","    49.9","   137.1","   359.5","  870.8"," 1759.2","  3228.5"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",19.14,"     0.0","     5.4","    23.9","    95.3","   299.2","   875.0"," 2078.6"," 3947.8","  6631.2"
"Circalittoral coarse sediment",7.47,"     0.0","     0.0","     7.2","    38.6","    83.6","   139.4","  256.2","  646.3","  1259.4"
"Offshore circalittoral mixed sediment",4.11,"     0.0","     0.0","     0.7","     2.8","     5.5","    18.1","   25.4","   38.5","    59.7"
"Circalittoral rock and biogenic reef",3.85,"     0.0","     0.0","     5.5","    16.0","    38.7","    92.0","  159.9","  230.6","   361.3"
"Offshore circalittoral rock and biogenic reef",3.64,"     0.0","     0.5","    10.4","    28.2","    56.9","    90.8","  167.1","  259.2","   502.1"
"Circalittoral sand",2.98,"     0.0","     2.7","    12.0","    36.9","    61.7","   100.4","  149.3","  232.6","   422.4"
"Circalittoral mud",1.15,"     0.6","     2.7","     7.6","    14.7","    22.6","    44.9","   63.7","   97.0","   142.3"
"Infralittoral rock and biogenic reef",0.75,"     0.0","     0.2","     0.6","     2.6","     3.2","     7.4","   19.5","   47.1","   126.5"
"Infralittoral sand",0.64,"     0.7","     2.6","    17.1","   117.4","   221.2","   328.1","  530.8","  763.0","  1163.8"
"Infralittoral coarse sediment",0.53,"     0.1","     0.9","     4.4","    17.5","    70.1","   111.9","  266.6","  452.4","   791.4"
"Infralittoral mud",0.15,"     0.0","     0.0","     0.0","     0.4","     0.8","     0.9","    2.5","    2.5","     5.9"
"Circalittoral mixed sediment",0.09,"     0.0","     0.0","     0.0","<0.1","     0.1","     0.3","    6.3","    6.3","    14.0"
"Infralittoral mixed sediment",0.08,"     0.0","     0.0","     0.0","     0.0","<0.1","<0.1","    5.2","    5.2","     5.4"
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",0.02,"<0.1","<0.1","     0.3","     0.5","     1.5","     1.5","    1.5","    1.5","     2.1"
"Upper bathyal rock and biogenic reef",0.02,"<0.1","<0.1","<0.1","<0.1","<0.1","     0.2","    0.4","    0.5","     0.8"
"Lower bathyal sediment",0.01,"<0.1","<0.1","     0.5","     0.5","     2.0","     2.0","    2.0","    2.0","     2.0"
