"MSFD","HabExt","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",213.98,"5154.9","12638.5","22080.2","33430.5","48410.8","67065.0","91130.1","122699.5","172804.6"
"Circalittoral sand",58.13," 228.9"," 1552.9"," 4184.3"," 6255.5"," 9332.4","14162.0","19896.8"," 28609.3"," 44449.2"
"Offshore circalittoral sand",50.93,"1909.9"," 4657.2"," 7165.2"," 9649.4","13058.1","16991.7","21080.3"," 25647.6"," 37092.9"
"Offshore circalittoral mud",42.52,"2691.6"," 5226.1"," 7489.2","10636.6","14185.1","17464.9","20851.7"," 24610.5"," 28835.0"
"Offshore circalittoral coarse sediment",19.7," 193.3","  550.2"," 1324.5"," 2919.3"," 5556.7"," 8623.0","12892.7"," 20201.7"," 26495.8"
"Circalittoral coarse sediment",11.56,"  24.0","  238.0","  558.3"," 1394.7"," 2040.1"," 3313.7"," 4867.4","  7302.2"," 13752.8"
"Infralittoral sand",8.96,"   0.0","    0.0","    0.0","    0.0","   82.4","  696.6"," 3614.3","  5380.9","  7819.5"
"Circalittoral mud",6.41,"   0.0","   85.1","  488.8"," 1267.3"," 2070.5"," 2511.8"," 3000.1","  3901.6","  4494.5"
"Circalittoral mixed sediment",4.5,"   0.0","    0.7","   22.8","   75.2","  174.9","  330.4","  656.0","   973.2","  1587.9"
"Offshore circalittoral mixed sediment",2.95,"  27.9","  170.7","  252.0","  419.7","  631.1","  826.0"," 1120.2","  1438.5","  1694.5"
"Upper bathyal sediment",2.48,"  17.3","   36.2","   54.6","   79.7","   94.1","  124.2","  146.5","   182.5","   214.4"
"Infralittoral mud",1.37,"   0.0","    0.0","    0.0","    0.0","   11.0","  176.7","  381.8","   744.4","  1448.9"
"Infralittoral coarse sediment",1.23,"   0.0","    0.0","    1.3","  112.9","  481.9","  913.1"," 1450.2","  2259.5","  3158.2"
"Infralittoral mixed sediment",1.11,"   0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.8","     3.3","    43.0"
"Unknown",0.85,"  60.7","  118.2","  534.0","  607.1","  663.1","  875.1"," 1069.5","  1167.6","  1324.6"
"Offshore circalittoral rock and biogenic reef",0.56,"   1.4","    3.1","    4.7","    9.0","   19.1","   40.7","   63.1","   167.8","   232.3"
"Circalittoral rock and biogenic reef",0.42,"   0.0"," -100.0","    0.2","    1.1","    4.9","    7.2","   15.6","    47.2","    62.9"
"Infralittoral rock and biogenic reef",0.3,"   0.0"," -100.0","    0.3","    3.0","    5.4","    8.0","   22.9","    61.5","    98.0"
"Upper bathyal rock and biogenic reef",0,"<0.1"," -100.0"," -100.0"," -100.0"," -100.0"," -100.0"," -100.0","  -100.0","  -100.0"
