"MSFD","HabExt","Totwght","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",213.98,262158.7,"2.0","   4.8","   8.4","12.8","18.5"," 25.6"," 34.8"," 46.8"," 65.9"
"Circalittoral sand",58.13,81560.1,"0.3","   1.9","   5.1"," 7.7","11.4"," 17.4"," 24.4"," 35.1"," 54.5"
"Offshore circalittoral sand",50.93,56068.4,"3.4","   8.3","  12.8","17.2","23.3"," 30.3"," 37.6"," 45.7"," 66.2"
"Offshore circalittoral mud",42.52,35900.3,"7.5","  14.6","  20.9","29.6","39.5"," 48.6"," 58.1"," 68.6"," 80.3"
"Offshore circalittoral coarse sediment",19.7,38120.7,"0.5","   1.4","   3.5"," 7.7","14.6"," 22.6"," 33.8"," 53.0"," 69.5"
"Circalittoral coarse sediment",11.56,19284.8,"0.1","   1.2","   2.9"," 7.2","10.6"," 17.2"," 25.2"," 37.9"," 71.3"
"Infralittoral sand",8.96,11839.5,"0.0","   0.0","   0.0"," 0.0"," 0.7","  5.9"," 30.5"," 45.4"," 66.0"
"Circalittoral mud",6.41,5387.2,"0.0","   1.6","   9.1","23.5","38.4"," 46.6"," 55.7"," 72.4"," 83.4"
"Circalittoral mixed sediment",4.5,3902.7,"0.0","<0.1","   0.6"," 1.9"," 4.5","  8.5"," 16.8"," 24.9"," 40.7"
"Offshore circalittoral mixed sediment",2.95,2053.1,"1.4","   8.3","  12.3","20.4","30.7"," 40.2"," 54.6"," 70.1"," 82.5"
"Upper bathyal sediment",2.48,258.3,"6.7","  14.0","  21.1","30.9","36.4"," 48.1"," 56.7"," 70.7"," 83.0"
"Infralittoral mud",1.37,1639.4,"0.0","   0.0","   0.0"," 0.0"," 0.7"," 10.8"," 23.3"," 45.4"," 88.4"
"Infralittoral coarse sediment",1.23,3815.4,"0.0","   0.0","<0.1"," 3.0","12.6"," 23.9"," 38.0"," 59.2"," 82.8"
"Infralittoral mixed sediment",1.11,112.5,"0.0","   0.0","   0.0"," 0.0"," 0.0","  0.0","  0.7","  2.9"," 38.2"
"Unknown",0.85,1424.9,"4.3","   8.3","  37.5","42.6","46.5"," 61.4"," 75.1"," 81.9"," 93.0"
"Offshore circalittoral rock and biogenic reef",0.56,371.2,"0.4","   0.8","   1.3"," 2.4"," 5.1"," 11.0"," 17.0"," 45.2"," 62.6"
"Circalittoral rock and biogenic reef",0.42,172.4,"0.0","<0.1","   0.1"," 0.7"," 2.8","  4.2","  9.0"," 27.4"," 36.5"
"Infralittoral rock and biogenic reef",0.3,247.7,"0.0","<0.1","   0.1"," 1.2"," 2.2","  3.2","  9.2"," 24.8"," 39.6"
"Upper bathyal rock and biogenic reef",0,0,"9.4","  30.5","  30.5","30.5","30.5","100.0","100.0","100.0","100.0"
