"MSFD","HabExt","SweptArea","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"total",56.43,100,"     24.3","    114.0","    324.0","    826.6","   1713.0","   3233.2","   5683.8","9258.8","15103.8"
"Infralittoral sand",11.38,5.64,"      0.0","      0.0","      2.0","     20.9","     85.8","    215.5","    484.5","1081.8"," 2293.5"
"Circalittoral mixed sediment",10.52,1.58,"      0.0","      0.0","      0.0","      0.0","      0.0","      7.9","     25.8","  79.2","  316.0"
"Offshore circalittoral mud",9.38,9.21,"     19.6","     82.3","    205.9","    506.7","    963.4","   1760.0","   2807.8","4179.7"," 6084.8"
"Circalittoral sand",8.37,4.3,"      0.0","      1.1","     14.9","     49.8","    139.5","    331.7","    820.0","1520.7"," 2558.6"
"Offshore circalittoral mixed sediment",3.25,3.95,"      1.5","     10.7","     31.7","     61.0","    120.4","    220.2","    412.3"," 695.2"," 1328.1"
"Infralittoral coarse sediment",2.84,0.11,"      0.0","      0.0","      0.0","      0.0","      0.0","      0.0","      0.5","   4.8","   15.9"
"Infralittoral mixed sediment",2.78,0.07,"      0.0","      0.0","      0.0","      0.0","      0.0","      0.0","      0.3","   4.0","   10.5"
"Circalittoral mud",1.68,1.69,"      2.4","     11.4","     37.9","    110.6","    232.3","    394.8","    564.4"," 792.6"," 1178.4"
"Offshore circalittoral sand",1.46,1.67,"      0.6","      7.1","     27.2","     69.4","    155.1","    275.3","    516.2"," 805.4"," 1150.7"
"Offshore circalittoral mud or Offshore circalittoral sand",1.38,0.15,"      0.0","      0.0","      0.7","      1.8","      3.5","      5.8","      9.5","  14.6","   25.7"
"Circalittoral coarse sediment",1.27,0.08,"      0.0","      0.0","      0.0","      0.0","      0.0","      0.8","      3.2","   7.2","   13.7"
"Circalittoral mud or Circalittoral sand",1.25,0.17,"      0.0","      0.3","      1.7","      3.4","      7.0","     12.2","     25.5","  48.7","   93.9"
"Infralittoral rock and biogenic reef",0.54,0.01,"      0.0","      0.0","      0.0","      0.0","      0.0","      0.0","      0.3","   1.1","    2.4"
"Infralittoral mud",0.19,0.03,"      0.1","      1.1","      1.9","      2.8","      5.5","      7.0","      9.8","  18.7","   24.1"
"Circalittoral rock and biogenic reef",0.07,0,"      0.0","      0.0","      0.0","<0.1","      0.1","      1.3","      1.9","   3.1","    4.4"
"Infralittoral mud or Infralittoral sand",0.04,0,"      0.0","      0.0","      0.0","      0.0","      0.0","      0.0","      0.0","   0.0","    0.0"
"Offshore circalittoral coarse sediment",0.03,0,"<0.1","<0.1","<0.1","      0.2","      0.4","      0.6","      1.8","   1.8","    2.7"
"Offshore circalittoral rock and biogenic reef",0,0,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","   0.2","    0.2"
