"MSFD","HabExt","TotVal","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",56.43,8585.9,"<0.1","   0.4","   1.3"," 3.3"," 7.0","12.8","21.9"," 34.8"," 55.1"
"Infralittoral sand",11.38,1297.3,"   0.0","   0.0","<0.1"," 0.6"," 2.5"," 6.2","12.3"," 24.3"," 49.2"
"Circalittoral mixed sediment",10.52,501.3,"   0.0","   0.0","   0.0"," 0.0"," 0.0"," 0.5"," 1.6","  4.8"," 20.7"
"Offshore circalittoral mud",9.38,3047.6,"   0.2","   0.9","   2.3"," 6.0","11.5","20.7","32.0"," 47.5"," 67.2"
"Circalittoral sand",8.37,1108.6,"   0.0","<0.1","   0.4"," 1.3"," 3.6"," 7.9","19.9"," 36.8"," 62.1"
"Offshore circalittoral mixed sediment",3.25,1311.6,"<0.1","   0.2","   0.7"," 1.3"," 2.8"," 5.0","10.3"," 16.9"," 32.1"
"Infralittoral coarse sediment",2.84,36.2,"   0.0","   0.0","   0.0"," 0.0"," 0.0"," 0.0"," 0.6","  3.7"," 13.2"
"Infralittoral mixed sediment",2.78,29.6,"   0.0","   0.0","   0.0"," 0.0"," 0.0"," 0.0"," 0.4","  4.5"," 14.8"
"Circalittoral mud",1.68,560,"   0.2","   0.8","   2.5"," 7.0","14.1","23.4","34.1"," 47.5"," 69.0"
"Offshore circalittoral sand",1.46,555.2,"<0.1","   0.4","   1.5"," 4.1"," 9.3","15.9","29.8"," 46.6"," 67.2"
"Offshore circalittoral mud or Offshore circalittoral sand",1.38,45.3,"   0.0","   0.0","   1.0"," 2.0"," 3.8"," 5.9"," 9.3"," 12.9"," 21.9"
"Circalittoral coarse sediment",1.27,20,"   0.0","   0.0","   0.0"," 0.0"," 0.0"," 1.4"," 4.9"," 10.6"," 20.3"
"Circalittoral mud or Circalittoral sand",1.25,57,"   0.0","   0.2","   1.1"," 2.6"," 4.9"," 9.1","21.2"," 36.8"," 63.4"
"Infralittoral rock and biogenic reef",0.54,1.7,"   0.0","   0.0","   0.0"," 0.0"," 0.0"," 0.0"," 6.2"," 17.7"," 37.1"
"Infralittoral mud",0.19,11.9,"   0.4","   6.8","  11.9","14.6","30.3","39.7","50.9"," 77.3"," 86.0"
"Circalittoral rock and biogenic reef",0.07,1.5,"   0.0","   0.0","   0.0"," 1.3"," 2.5","30.0","42.9"," 81.7","100.0"
"Infralittoral mud or Infralittoral sand",0.04,0,"   NaN","   NaN","   NaN"," NaN"," NaN"," NaN"," NaN","  NaN","  NaN"
"Offshore circalittoral coarse sediment",0.03,1.1,"   0.4","   2.7","   2.9"," 4.5"," 9.1","17.5","46.4"," 46.4"," 75.9"
"Offshore circalittoral rock and biogenic reef",0,0.1,"   2.6","   2.6","   2.6"," 2.6"," 2.6","13.7","13.7","100.0","100.0"
