"MSFD","HabExt","SweptArea","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"total",18.99,100,"    908.2","   2103.5","   3589.6","   5601.9","   8506.6","  12374.9","  18109.0","  27218.6","  44733.2"
"Offshore circalittoral mud",8.34,26.31,"    340.7","    792.9","   1289.9","   1912.2","   2593.2","   3343.6","   4223.5","   5562.9","  11203.4"
"Offshore circalittoral sand",6.54,41.56,"    217.4","    648.3","   1212.1","   2130.5","   3918.5","   6277.4","   9747.2","  16008.1","  25292.6"
"Circalittoral sand",1.68,6.66,"    169.6","    322.8","    543.1","    804.6","   1055.5","   1477.8","   2539.7","   3344.0","   4582.6"
"Offshore circalittoral mixed sediment",1.16,3.36,"     68.9","    132.0","    226.7","    315.5","    420.2","    556.9","    736.7","   1128.7","   1911.8"
"Offshore circalittoral coarse sediment",0.59,1.03,"     33.3","     62.0","     98.4","    123.2","    153.2","    223.2","    308.1","    465.2","    713.3"
"Circalittoral coarse sediment",0.33,0.47,"     20.2","     47.4","     82.1","    115.3","    143.9","    192.3","    231.8","    289.3","    338.1"
"Circalittoral mixed sediment",0.3,0.87,"     16.4","     32.8","     43.9","     59.4","     81.0","    100.6","    119.0","    149.9","    420.9"
"Infralittoral sand",0.03,0.24,"     36.5","     57.4","     80.6","    124.8","    124.8","    176.7","    176.7","    244.0","    244.0"
"Circalittoral mud",0.02,0.07,"      5.2","      7.8","     12.8","     16.3","     16.3","     26.3","     26.3","     26.3","     26.3"
"Infralittoral coarse sediment",0,0,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
