"MSFD","HabExt","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",18.99,"   838.7","  1926.2","  3213.8","  4906.6","  7393.7"," 10905.9"," 15413.3"," 21422.8"," 29980.7"
"Offshore circalittoral mud",8.34,"   168.6","   363.8","   577.4","   868.1","  1189.4","  1502.8","  1905.5","  2594.7","  5148.4"
"Offshore circalittoral sand",6.54,"   216.1","   697.2","  1293.0","  2198.1","  3756.0","  6094.7","  8990.4"," 12856.1"," 16924.0"
"Circalittoral sand",1.68,"   159.7","   266.8","   413.4","   606.3","   791.6","  1099.5","  1858.5","  2614.8","  3648.3"
"Offshore circalittoral mixed sediment",1.16,"    94.1","   212.0","   369.8","   499.0","   765.6","  1020.5","  1293.1","  1688.5","  2221.2"
"Offshore circalittoral coarse sediment",0.59,"    72.4","   134.8","   198.1","   246.9","   314.1","   413.5","   507.3","   625.9","   810.8"
"Circalittoral coarse sediment",0.33,"    37.1","    93.7","   139.9","   171.9","   220.5","   307.6","   349.7","   383.0","   405.0"
"Circalittoral mixed sediment",0.3,"    36.2","    73.9","   105.3","   139.8","   180.0","   213.8","   255.2","   309.7","   472.9"
"Infralittoral sand",0.03,"    52.1","    80.5","   111.0","   168.1","   168.1","   237.5","   237.5","   334.1","   334.1"
"Circalittoral mud",0.02,"     2.4","     3.6","     5.9","     8.4","     8.4","    16.1","    16.1","    16.1","    16.1"
"Infralittoral coarse sediment",0,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
