"MSFD","HabExt","Totwght","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",18.99,37554.7,"  1.8","  3.8","  6.2"," 10.5"," 16.5"," 29.6"," 45.8"," 65.9"," 78.2"
"Offshore circalittoral mud",8.34,4541.5,"  2.6","  5.1","  8.3"," 13.7"," 18.3"," 22.3"," 30.3"," 44.1"," 62.2"
"Offshore circalittoral sand",6.54,18428.4,"  0.7","  2.4","  4.4","  8.7"," 17.0"," 37.1"," 57.9"," 82.2"," 89.6"
"Circalittoral sand",1.68,10024,"  1.3","  2.1","  3.1","  6.2","  9.5"," 14.9"," 30.7"," 48.6"," 66.8"
"Offshore circalittoral mixed sediment",1.16,1321.9,"  3.6","  7.6"," 14.2"," 20.7"," 28.2"," 37.2"," 49.9"," 66.9"," 84.4"
"Offshore circalittoral coarse sediment",0.59,1263.1,"  2.9","  5.8","  8.7"," 10.2"," 12.3"," 17.9"," 21.1"," 30.1"," 50.6"
"Circalittoral coarse sediment",0.33,638.1,"  4.2","  7.8"," 15.1"," 17.3"," 23.6"," 39.1"," 48.6"," 51.7"," 53.1"
"Circalittoral mixed sediment",0.3,341.4,"  4.4"," 10.6"," 14.5"," 18.2"," 23.1"," 26.8"," 31.6"," 40.0"," 69.5"
"Infralittoral sand",0.03,979.6," 18.0"," 28.5"," 37.6"," 53.5"," 53.5"," 73.4"," 73.4","100.0","100.0"
"Circalittoral mud",0.02,16.8,"  8.1"," 11.3"," 17.7"," 25.6"," 25.6"," 62.1"," 62.1"," 62.1"," 62.1"
"Infralittoral coarse sediment",0,0,"100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
