"MSFD","area_km2","PctHabExt","avgweight","avgvalue","sweptarea","avgsar","propswept","eff_fish","propUnfished"
"Offshore circalittoral coarse sediment",15.51,61.1,31.91,86.86,87.75,5.66,78.2,"51.1",0
"Circalittoral coarse sediment",3.68,14.5,8.97,24.11,31.35,8.51,75.9,"39.3",0
"Circalittoral sand",2.26,8.9,5.21,14.41,16.91,7.47,91.5,"57.5",0
"Offshore circalittoral sand",1.3,5.1,5.2,14.89,11.89,9.15,98.3,"80.7",0
"Infralittoral sand",0.92,3.6,2.07,5.23,3.11,3.39,76.2,"60.9",0.1
"Infralittoral coarse sediment",0.71,2.8,3.18,6.95,1.81,2.54,79.9,"73",0
"Offshore circalittoral rock and biogenic reef",0.22,0.9,0.31,0.88,0.53,2.43,45.2,"32.9",0
"Infralittoral mud",0.19,0.7,0.43,1.2,0.66,3.54,86.5,"65.2",0
"Circalittoral mud",0.16,0.6,0.49,1.6,2.18,13.22,98.2,"80.3",0
"Infralittoral rock and biogenic reef",0.16,0.6,0.27,0.73,0.26,1.65,48,"41.1",0
"Circalittoral rock and biogenic reef",0.13,0.5,0.16,0.45,0.15,1.19,48.8,"50.4",0
"Offshore circalittoral mixed sediment",0.1,0.4,0.02,0.05,0.08,0.77,12.9,"4.9",0
"Offshore circalittoral mud",0.05,0.2,0.23,0.69,0.74,15.23,99.1,"78.8",0
"Infralittoral mixed sediment",0.01,0,0.05,0.13,0.01,1.67,93.2,"68.5",0
"Circalittoral mixed sediment",0,0,0,0,0,0.66,53.1,"86.4",0
"Unknown",0,0,0,0,0,1.56,75.4,"59.2",0
