"MSFD","HabExt","TotVal","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",25.4,154273.2," 1.1"," 3.2"," 6.1","10.7","17.1","25.9"," 41.0"," 57.0"," 73.3"
"Offshore circalittoral coarse sediment",15.51,86841.3," 0.1"," 0.3"," 1.3"," 5.1","11.1","19.7"," 35.0"," 52.0"," 69.1"
"Circalittoral coarse sediment",3.68,23286.4," 0.1"," 1.2"," 4.0"," 6.7","11.6","19.0"," 41.8"," 56.5"," 74.6"
"Circalittoral sand",2.26,13245.9," 4.1"," 6.9"," 9.1","13.9","19.7","28.9"," 38.9"," 59.6"," 79.2"
"Offshore circalittoral sand",1.3,14409.1," 4.7","16.6","27.3","34.9","43.3","51.5"," 57.6"," 70.2"," 82.1"
"Infralittoral sand",0.92,4291.2," 1.4"," 3.5","10.4","20.8","29.8","44.5"," 57.3"," 72.9"," 81.1"
"Infralittoral coarse sediment",0.71,6831.1," 1.2"," 6.6","11.7","20.0","30.3","42.2"," 61.5"," 74.6"," 86.0"
"Offshore circalittoral rock and biogenic reef",0.22,861.7," 0.5"," 0.9"," 1.1"," 1.9"," 2.3"," 4.3","  6.3"," 12.1"," 25.0"
"Infralittoral mud",0.19,1106.9," 4.3"," 9.8","22.1","35.5","44.9","65.1"," 74.0"," 86.0"," 92.0"
"Circalittoral mud",0.16,1443.3," 6.3","22.0","28.0","43.2","50.5","64.6"," 72.2"," 79.4"," 90.4"
"Infralittoral rock and biogenic reef",0.16,658.3," 1.2"," 1.2"," 2.1"," 4.0"," 7.9","20.8"," 30.1"," 36.5"," 69.6"
"Circalittoral rock and biogenic reef",0.13,424.5," 0.1"," 1.3"," 4.9"," 6.2"," 8.6","16.9"," 27.8"," 39.0"," 53.8"
"Offshore circalittoral mixed sediment",0.1,45.2," 0.9"," 1.1"," 2.3"," 4.1"," 4.8"," 6.0","  7.3","  9.0"," 10.4"
"Offshore circalittoral mud",0.05,693.7," 4.3","14.7","28.5","45.7","45.7","55.3"," 79.0","100.0","100.0"
"Infralittoral mixed sediment",0.01,132.8," 3.9","11.0","17.5","29.2","59.4","59.4","100.0","100.0","100.0"
"Circalittoral mixed sediment",0,1.7,"10.7","58.0","58.0","58.0","58.0","58.0"," 58.0","100.0","100.0"
"Unknown",0,0.1,"28.2","28.2","28.2","38.2","56.0","70.3"," 70.3","100.0","100.0"
