"MSFD","HabExt","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",25.4," 610.0","1834.3","3490.6","6219.6","10048.3","15128.7","23687.9","33213.8","42384.4"
"Offshore circalittoral coarse sediment",15.51,"  32.5","  96.3"," 429.2","1664.0"," 3742.5"," 6583.5","11485.9","16876.6","22119.8"
"Circalittoral coarse sediment",3.68,"  13.0"," 113.5"," 366.1"," 596.2"," 1028.4"," 1641.9"," 3493.3"," 5035.5"," 6725.8"
"Circalittoral sand",2.26," 197.8"," 349.1"," 458.3"," 694.9","  977.7"," 1390.7"," 1871.7"," 3017.6"," 3919.9"
"Offshore circalittoral sand",1.3," 248.5"," 843.1","1381.6","1781.2"," 2197.0"," 2652.0"," 2991.9"," 3575.6"," 4117.3"
"Infralittoral sand",0.92,"  22.8","  60.8"," 174.0"," 360.3","  513.8","  731.1","  920.7"," 1224.3"," 1453.4"
"Infralittoral coarse sediment",0.71,"  30.5"," 177.8"," 354.1"," 614.7","  974.1"," 1295.7"," 1918.9"," 2302.8"," 2664.6"
"Offshore circalittoral rock and biogenic reef",0.22,"   1.7","   2.9","   3.3","   6.1","    7.4","   14.3","   20.8","   40.2","   78.2"
"Infralittoral mud",0.19,"  18.2","  43.3"," 109.4"," 165.6","  214.7","  293.4","  324.8","  364.7","  379.0"
"Circalittoral mud",0.16,"  30.4"," 103.0"," 128.5"," 196.4","  223.5","  283.0","  310.0","  338.5","  387.5"
"Infralittoral rock and biogenic reef",0.16,"   2.8","   2.9","   5.1","  10.2","   20.4","   55.5","   77.6","   92.8","  168.4"
"Circalittoral rock and biogenic reef",0.13,"   0.2","   2.0","   8.3","  10.3","   14.2","   29.1","   46.7","   64.6","   89.6"
"Offshore circalittoral mixed sediment",0.1,"   0.1","   0.1","   0.3","   0.5","    0.6","    0.8","    1.0","    1.4","    1.6"
"Offshore circalittoral mud",0.05,"   9.6","  33.4","  62.9"," 103.8","  103.8","  127.3","  175.1","  229.1","  229.1"
"Infralittoral mixed sediment",0.01,"   1.9","   5.6","   9.1","  14.9","   29.8","   29.8","   49.3","   49.3","   49.3"
"Circalittoral mixed sediment",0,"<0.1","   0.4","   0.4","   0.4","    0.4","    0.4","    0.4","    0.7","    0.7"
"Unknown",0,"<0.1","<0.1","<0.1","<0.1"," -100.0"," -100.0"," -100.0"," -100.0"," -100.0"
