"MSFD","HabExt","Totwght","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",25.4,57101.2," 1.1"," 3.2"," 6.1","10.9","17.6","26.5"," 41.5"," 58.2"," 74.2"
"Offshore circalittoral coarse sediment",15.51,31900.5," 0.1"," 0.3"," 1.3"," 5.2","11.7","20.6"," 36.0"," 52.9"," 69.3"
"Circalittoral coarse sediment",3.68,8673.3," 0.2"," 1.3"," 4.2"," 6.9","11.9","18.9"," 40.3"," 58.1"," 77.5"
"Circalittoral sand",2.26,4792.6," 4.1"," 7.3"," 9.6","14.5","20.4","29.0"," 39.1"," 63.0"," 81.8"
"Offshore circalittoral sand",1.3,5025.3," 4.9","16.8","27.5","35.4","43.7","52.8"," 59.5"," 71.2"," 81.9"
"Infralittoral sand",0.92,1749.6," 1.3"," 3.5"," 9.9","20.6","29.4","41.8"," 52.6"," 70.0"," 83.1"
"Infralittoral coarse sediment",0.71,3127.5," 1.0"," 5.7","11.3","19.7","31.1","41.4"," 61.4"," 73.6"," 85.2"
"Offshore circalittoral rock and biogenic reef",0.22,300.2," 0.6"," 1.0"," 1.1"," 2.0"," 2.5"," 4.8","  6.9"," 13.4"," 26.1"
"Infralittoral mud",0.19,405.3," 4.5","10.7","27.0","40.9","53.0","72.4"," 80.1"," 90.0"," 93.5"
"Circalittoral mud",0.16,435.7," 7.0","23.6","29.5","45.1","51.3","64.9"," 71.1"," 77.7"," 88.9"
"Infralittoral rock and biogenic reef",0.16,241.6," 1.1"," 1.2"," 2.1"," 4.2"," 8.4","23.0"," 32.1"," 38.4"," 69.7"
"Circalittoral rock and biogenic reef",0.13,153.5," 0.1"," 1.3"," 5.4"," 6.7"," 9.2","19.0"," 30.4"," 42.1"," 58.4"
"Offshore circalittoral mixed sediment",0.1,16.8," 0.7"," 0.9"," 1.9"," 3.0"," 3.6"," 5.0","  5.9","  8.4","  9.8"
"Offshore circalittoral mud",0.05,229.1," 4.2","14.6","27.5","45.3","45.3","55.6"," 76.4","100.0","100.0"
"Infralittoral mixed sediment",0.01,49.3," 3.9","11.4","18.4","30.1","60.5","60.5","100.0","100.0","100.0"
"Circalittoral mixed sediment",0,0.7,"10.9","57.0","57.0","57.0","57.0","57.0"," 57.0","100.0","100.0"
"Unknown",0,0,"37.1","37.1","37.1","50.9","75.3","82.8"," 82.8","100.0","100.0"
