"MSFD","HabExt","SweptArea","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"total",82.91,100,"   6034.5","16974.8","32137.7","  52137.5","74888.7"," 101403.1","131790.8"," 168933.2","217494.4"
"Offshore circalittoral sand",24.56,62.47,"   1274.6"," 4072.0"," 7774.0","  12604.3","18085.8","  24238.8"," 31455.9","  39516.9"," 49188.9"
"Offshore circalittoral mud",17.1,82.3,"   2054.4"," 5365.4"," 9439.6","  14416.0","20011.1","  26162.4"," 33298.8","  42258.0"," 55365.0"
"Offshore circalittoral coarse sediment",10.55,31.49,"   1279.0"," 2753.5"," 4462.8","   6594.9"," 9088.3","  11827.6"," 14905.1","  18533.1"," 23058.3"
"Circalittoral sand",9.95,35.14,"     76.3","  840.7"," 2503.2","   4720.8"," 7163.8","  10479.9"," 14124.8","  18884.7"," 25194.1"
"Circalittoral coarse sediment",7.95,51.26,"    169.4"," 1228.2"," 3388.4","   6960.5","11171.1","  15819.7"," 21113.1","  27579.8"," 36230.3"
"Circalittoral rock and biogenic reef",2.83,3.67,"      2.0","   25.8","   69.2","    159.8","  254.2","    451.4","   761.5","   1324.7","  2052.7"
"Circalittoral mud",2.46,5.37,"      1.2","   16.7","   70.2","    190.2","  424.4","    752.0","  1303.4","   2112.7","  3169.6"
"Offshore circalittoral rock and biogenic reef",2.16,6.96,"    425.4","  874.6"," 1360.0","   1905.4"," 2474.5","   3236.2","  3859.5","   4813.4","  5755.0"
"Offshore circalittoral mixed sediment",2,18.35,"    711.8"," 1647.3"," 2808.6","   4152.1"," 5554.9","   7491.3","  9720.7","  12288.0"," 15264.7"
"Upper bathyal sediment",1.01,1.57,"     23.6","   86.3","  131.2","    208.2","  331.7","    515.8","   696.7","    864.2","  1112.8"
"Infralittoral rock and biogenic reef",0.77,0.13,"      0.0","    0.0","    0.0","<0.1","    0.4","      2.5","     5.2","     14.3","    31.8"
"Infralittoral sand",0.59,0.3,"      0.0","    0.0","    0.0","<0.1","    0.6","      1.8","     6.4","     16.2","    71.1"
"Infralittoral coarse sediment",0.32,0.02,"      0.0","    0.0","    0.0","      0.0","    0.2","      1.0","     2.9","      4.9","    10.2"
"Infralittoral mud",0.31,0.07,"      0.0","    0.0","    0.0","      0.0","    0.0","<0.1","     0.7","      1.2","     2.6"
"Circalittoral mixed sediment",0.21,1.05,"     11.4","   58.4","  123.2","    213.3","  313.4","    405.2","   515.1","    696.1","   949.3"
"Unknown",0.1,0.05,"<0.1","    0.4","    1.7","      6.4","    9.0","     12.0","    15.5","     19.5","    31.9"
"Infralittoral mixed sediment",0.04,0,"      0.0","    0.0","    0.0","      0.0","    0.0","      0.0","     0.0","<0.1","     0.7"
"Upper bathyal rock and biogenic reef",0,0.01,"      5.5","    5.5","    5.5","      5.5","    5.5","      5.5","     5.5","      5.5","     5.5"
