"MSFD","HabExt","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",82.91,"  1750.4","  5003.3","  9547.8"," 15650.4"," 22549.6"," 30497.0"," 39496.1"," 51229.5"," 68305.3"
"Offshore circalittoral sand",24.56,"   337.4","   944.1","  1696.8","  2622.8","  3720.8","  4828.0","  6115.9","  7420.1","  9255.5"
"Offshore circalittoral mud",17.1,"   486.8","  1348.7","  2420.1","  3849.1","  5353.9","  7147.4","  9257.8"," 12366.0"," 18433.0"
"Offshore circalittoral coarse sediment",10.55,"   342.0","   707.2","  1169.1","  1691.3","  2343.5","  2990.9","  3761.0","  4619.3","  5788.2"
"Circalittoral sand",9.95,"    53.6","   381.1","  1047.4","  1900.7","  2920.2","  4179.4","  5474.6","  7073.0","  9378.6"
"Circalittoral coarse sediment",7.95,"    83.8","   598.3","  1393.5","  2734.9","  4203.7","  5748.2","  7421.5","  9778.7"," 12686.0"
"Circalittoral rock and biogenic reef",2.83,"     2.8","    16.5","    36.0","    81.4","   128.5","   219.5","   399.3","   718.3","  1090.6"
"Circalittoral mud",2.46,"     1.2","     9.4","    36.0","    95.2","   192.0","   339.4","   567.8","   895.0","  1317.8"
"Offshore circalittoral rock and biogenic reef",2.16,"   155.6","   327.2","   519.7","   715.3","   957.7","  1276.0","  1442.4","  1792.1","  2091.9"
"Offshore circalittoral mixed sediment",2,"   275.3","   628.5","  1155.6","  1838.6","  2552.9","  3521.5","  4741.7","  6153.9","  7651.5"
"Upper bathyal sediment",1.01,"     7.4","    22.1","    34.1","    48.3","    68.7","   100.8","   128.2","   156.1","   215.9"
"Infralittoral rock and biogenic reef",0.77,"     0.0","     0.0","     0.0","<0.1","     0.7","     4.4","     5.8","    13.2","    22.2"
"Infralittoral sand",0.59,"     0.0","     0.0","     0.0","     0.1","     0.5","     3.5","     6.5","    16.2","    44.1"
"Infralittoral coarse sediment",0.32,"     0.0","     0.0","     0.0","     0.0","     0.2","     1.9","     4.4","     5.7","    10.0"
"Infralittoral mud",0.31,"     0.0","     0.0","     0.0","     0.0","     0.0","<0.1","     1.6","     2.6","     3.3"
"Circalittoral mixed sediment",0.21,"     4.4","    20.0","    38.9","    68.9","   101.6","   130.1","   160.4","   210.1","   298.9"
"Unknown",0.1,"<0.1","     0.2","     0.6","     3.5","     4.7","     5.9","     6.9","     9.2","    17.5"
"Infralittoral mixed sediment",0.04,"     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","<0.1","     0.4"
"Upper bathyal rock and biogenic reef",0,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
