"MSFD","HabExt","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",82.91," 653.4","1803.8","3282.0","5255.5","7373.2","9984.9","12901.1","16479.1","20762.9"
"Offshore circalittoral sand",24.56," 140.7"," 478.0"," 888.8","1526.2","2177.5","3054.1"," 4048.4"," 5196.1"," 6419.4"
"Offshore circalittoral mud",17.1," 237.6"," 589.4","1017.7","1513.4","2035.1","2615.5"," 3241.3"," 4040.9"," 5096.0"
"Offshore circalittoral coarse sediment",10.55," 135.3"," 291.4"," 468.6"," 672.8"," 900.1","1196.6"," 1493.7"," 1826.8"," 2219.8"
"Circalittoral sand",9.95,"  12.8","  81.7"," 216.3"," 385.8"," 586.1"," 827.9"," 1095.9"," 1433.2"," 1911.4"
"Circalittoral coarse sediment",7.95,"  18.3"," 121.8"," 287.3"," 548.4"," 849.9","1163.7"," 1503.7"," 2001.3"," 2618.9"
"Circalittoral rock and biogenic reef",2.83,"   0.7","   3.7","   8.0","  17.7","  27.8","  44.7","   83.0","  141.5","  215.3"
"Circalittoral mud",2.46,"   0.3","   2.4","   8.1","  20.8","  41.0","  70.2","  109.3","  164.2","  234.8"
"Offshore circalittoral rock and biogenic reef",2.16,"  43.0","  80.4"," 132.6"," 188.3"," 233.3"," 304.8","  381.8","  487.2","  580.5"
"Offshore circalittoral mixed sediment",2,"  59.2"," 138.8"," 228.5"," 336.8"," 454.8"," 610.1","  794.2"," 1007.6"," 1234.8"
"Upper bathyal sediment",1.01,"   3.6","  11.3","  16.9","  30.5","  46.7","  69.4","  114.3","  131.7","  159.0"
"Infralittoral rock and biogenic reef",0.77,"   0.0","   0.0","   0.0","<0.1","   0.2","   1.1","    1.4","    3.0","    4.8"
"Infralittoral sand",0.59,"   0.0","   0.0","   0.0","<0.1","<0.1","   0.8","    1.3","    3.3","    8.5"
"Infralittoral coarse sediment",0.32,"   0.0","   0.0","   0.0","   0.0","<0.1","   0.5","    1.0","    1.3","    2.1"
"Infralittoral mud",0.31,"   0.0","   0.0","   0.0","   0.0","   0.0","<0.1","    0.4","    0.6","    0.7"
"Circalittoral mixed sediment",0.21,"   0.8","   3.6","   7.8","  12.8","  18.4","  23.0","   28.8","   37.5","   51.8"
"Unknown",0.1,"<0.1","<0.1","<0.1","   0.7","   0.9","   1.2","    1.4","    1.8","    3.5"
"Infralittoral mixed sediment",0.04,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","    0.0"," -100.0"," -100.0"
"Upper bathyal rock and biogenic reef",0,"   1.3","   1.3","   1.3","   1.3","   1.3","   1.3","    1.3","    1.3","    1.3"
