"MSFD","HabExt","Totwght","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",82.91,27387.1,"   2.4","  6.6"," 12.0","  19.2"," 26.9"," 36.5"," 47.1"," 60.2"," 75.8"
"Offshore circalittoral sand",24.56,7755.1,"   1.8","  6.2"," 11.5","  19.7"," 28.1"," 39.4"," 52.2"," 67.0"," 82.8"
"Offshore circalittoral mud",17.1,6919,"   3.4","  8.5"," 14.7","  21.9"," 29.4"," 37.8"," 46.8"," 58.4"," 73.7"
"Offshore circalittoral coarse sediment",10.55,2735.8,"   4.9"," 10.7"," 17.1","  24.6"," 32.9"," 43.7"," 54.6"," 66.8"," 81.1"
"Circalittoral sand",9.95,2605.5,"   0.5","  3.1","  8.3","  14.8"," 22.5"," 31.8"," 42.1"," 55.0"," 73.4"
"Circalittoral coarse sediment",7.95,4115.7,"   0.4","  3.0","  7.0","  13.3"," 20.6"," 28.3"," 36.5"," 48.6"," 63.6"
"Circalittoral rock and biogenic reef",2.83,356.6,"   0.2","  1.0","  2.2","   5.0","  7.8"," 12.5"," 23.3"," 39.7"," 60.4"
"Circalittoral mud",2.46,358.4,"<0.1","  0.7","  2.3","   5.8"," 11.4"," 19.6"," 30.5"," 45.8"," 65.5"
"Offshore circalittoral rock and biogenic reef",2.16,725.6,"   5.9"," 11.1"," 18.3","  25.9"," 32.1"," 42.0"," 52.6"," 67.1"," 80.0"
"Offshore circalittoral mixed sediment",2,1475,"   4.0","  9.4"," 15.5","  22.8"," 30.8"," 41.4"," 53.8"," 68.3"," 83.7"
"Upper bathyal sediment",1.01,219.2,"   1.6","  5.1","  7.7","  13.9"," 21.3"," 31.7"," 52.1"," 60.1"," 72.5"
"Infralittoral rock and biogenic reef",0.77,12.6,"   0.0","  0.0","  0.0","<0.1","  1.4","  8.5"," 11.3"," 24.1"," 37.7"
"Infralittoral sand",0.59,35.3,"   0.0","  0.0","  0.0","<0.1","  0.2","  2.3","  3.8","  9.4"," 24.1"
"Infralittoral coarse sediment",0.32,4.2,"   0.0","  0.0","  0.0","   0.0","  1.1"," 11.5"," 24.6"," 31.2"," 50.1"
"Infralittoral mud",0.31,6.3,"   0.0","  0.0","  0.0","   0.0","  0.0","  0.2","  5.8","  9.0"," 11.0"
"Circalittoral mixed sediment",0.21,56.4,"   1.4","  6.5"," 13.9","  22.8"," 32.6"," 40.8"," 51.1"," 66.4"," 91.9"
"Unknown",0.1,4.7,"<0.1","  0.8","  2.1","  15.4"," 20.0"," 25.8"," 29.2"," 37.7"," 74.7"
"Infralittoral mixed sediment",0.04,0.3,"   0.0","  0.0","  0.0","   0.0","  0.0","  0.0","  0.0","  0.2"," 29.2"
"Upper bathyal rock and biogenic reef",0,1.3," 100.0","100.0","100.0"," 100.0","100.0","100.0","100.0","100.0","100.0"
