"MSFD","area_km2","PctHabExt","avgweight","avgvalue","sweptarea","avgsar","propswept","eff_fish","propUnfished"
"Upper bathyal sediment",4.08,37.1,0.96,NA,11.62,2.85,52.3,33.4,35.6
"Circalittoral sand",1.79,16.3,0.8,NA,10.51,5.87,59.7,34,19.2
"Circalittoral mud",1.72,15.6,1.71,NA,25.68,14.95,88.8,65.8,2.6
"Offshore circalittoral mud",1.28,11.6,1.45,NA,20.81,16.28,100,77.1,0
"Offshore circalittoral sand",0.57,5.2,0.08,NA,0.94,1.65,86.2,72.8,0
"Infralittoral sand",0.44,4,0.07,NA,0.63,1.44,18.1,6.5,37.6
"Circalittoral mixed sediment",0.15,1.4,0.14,NA,1.64,11.24,93.2,52.9,0.6
"Infralittoral rock and biogenic reef",0.14,1.3,0,NA,0.01,0.05,4.6,9.2,89.1
"Circalittoral rock and biogenic reef",0.13,1.2,0.01,NA,0.05,0.38,19.1,20.5,61.1
"Infralittoral mixed sediment",0.13,1.2,0.02,NA,0.2,1.53,33.4,20.8,2.3
"Upper bathyal rock and biogenic reef",0.12,1.1,0.01,NA,0.09,0.7,35.5,30.1,39
"Infralittoral mud",0.12,1.1,0.02,NA,0.04,0.37,9.3,5.5,33.7
"Infralittoral coarse sediment",0.1,0.9,0.02,NA,0.1,0.97,31.5,25.4,21.3
"Circalittoral coarse sediment",0.1,0.9,0.03,NA,0.27,2.7,77.1,61.6,5.1
"Offshore circalittoral coarse sediment",0.08,0.7,0.02,NA,0.25,3.1,66.3,40.3,0
"Offshore circalittoral mixed sediment",0.06,0.5,0.1,NA,1.44,25.28,100,83.8,0
"Unknown",0,0,0,NA,0,0.01,1.2,NA,61.3
