"MSFD","HabExt","SweptArea","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"total",11.01,100,"    942.4","   3054.7","6026.5","   9330.1","  13205.9","20052.5","  27854.4","  37724.4","  51891.6"
"Upper bathyal sediment",4.08,11.62,"      0.0","      0.0","   0.0","     11.3","    159.4","  643.3","   1513.3","   2694.6","   4785.2"
"Circalittoral sand",1.79,10.51,"      0.0","<0.1","   3.5","     81.1","    221.5","  795.7","   1530.0","   3581.4","   6775.4"
"Circalittoral mud",1.72,25.68,"      6.0","    914.7","2372.5","   3736.5","   5358.3"," 8030.6","  10823.1","  14102.9","  18478.9"
"Offshore circalittoral mud",1.28,20.81,"    714.3","   1770.8","2965.9","   4554.4","   6200.9"," 8618.3","  11487.8","  13891.2","  17320.5"
"Offshore circalittoral sand",0.57,0.94,"     21.1","     72.2"," 123.1","    192.3","    267.3","  357.1","    460.9","    584.3","    737.1"
"Infralittoral sand",0.44,0.63,"      0.0","      0.0","   0.0","<0.1","      0.6","    1.2","      7.1","     20.2","     41.3"
"Circalittoral mixed sediment",0.15,1.64,"     20.9","     56.0"," 107.5","    149.7","    263.4","  449.5","    827.7","   1207.2","   1644.1"
"Infralittoral rock and biogenic reef",0.14,0.01,"      0.0","      0.0","   0.0","      0.0","      0.0","    0.0","      0.0","      0.0","      0.7"
"Circalittoral rock and biogenic reef",0.13,0.05,"      0.0","      0.0","   0.0","      0.0","      0.0","    0.0","      1.4","      8.3","     28.3"
"Infralittoral mixed sediment",0.13,0.2,"<0.1","<0.1","   0.2","      0.2","      0.4","    0.6","     24.3","     41.2","     72.4"
"Upper bathyal rock and biogenic reef",0.12,0.09,"      0.0","      0.0","   0.0","      0.2","      1.4","    6.1","     14.2","     56.8","     74.8"
"Infralittoral mud",0.12,0.04,"      0.0","      0.0","   0.0","<0.1","<0.1","    0.3","      0.9","      2.2","      4.8"
"Infralittoral coarse sediment",0.1,0.1,"      0.0","      0.0","   0.1","      0.1","      0.4","    0.9","      3.1","     40.1","     40.1"
"Circalittoral coarse sediment",0.1,0.27,"      0.2","      3.2","  18.5","     39.6","     47.8","  109.4","    109.4","    205.1","    205.1"
"Offshore circalittoral coarse sediment",0.08,0.25,"      1.6","      4.1","   8.6","     20.6","     20.6","   39.3","     51.1","     98.7","    246.7"
"Offshore circalittoral mixed sediment",0.06,1.44,"    178.2","    233.6"," 426.6","    544.0","    663.7"," 1000.1","   1000.1","   1190.2","   1436.4"
"Unknown",0,0,"      0.0","      0.0","   0.0","      0.0","      0.0","    0.0","<0.1","<0.1","<0.1"
