"MSFD","HabExt","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",11.01,"  94.0"," 249.5","477.9"," 711.3","1002.9","1510.1","2122.0","2875.4","3880.2"
"Upper bathyal sediment",4.08,"   0.0","   0.0","  0.0","   1.0","  13.9","  60.7"," 143.3"," 249.7"," 419.5"
"Circalittoral sand",1.79,"   0.0","<0.1"," 13.0","  22.2","  45.6"," 101.9"," 163.9"," 343.0"," 561.1"
"Circalittoral mud",1.72,"  26.0","  90.3","193.3"," 279.9"," 386.1"," 555.7"," 759.5"," 963.3","1239.4"
"Offshore circalittoral mud",1.28,"  48.8"," 124.6","207.4"," 319.3"," 438.9"," 612.7"," 810.3"," 977.6","1222.3"
"Offshore circalittoral sand",0.57,"   2.6","   9.8"," 15.5","  22.2","  28.2","  34.9","  43.2","  50.8","  64.0"
"Infralittoral sand",0.44,"   0.0","   0.0","  0.0","<0.1","   3.3","   6.7","  25.5","  27.6","  30.5"
"Circalittoral mixed sediment",0.15,"   2.6","   6.2"," 12.6","  17.6","  26.7","  37.1","  66.8"," 102.6"," 140.6"
"Infralittoral rock and biogenic reef",0.14,"   0.0","   0.0","  0.0","   0.0","   0.0","   0.0","   0.0","   0.0","<0.1"
"Circalittoral rock and biogenic reef",0.13,"   0.0","   0.0","  0.0","   0.0","   0.0","   0.0","   0.2","   1.2","   4.7"
"Infralittoral mixed sediment",0.13,"<0.1","   0.3","  0.9","   0.9","   1.7","   2.5","   6.5","   8.5","  13.9"
"Upper bathyal rock and biogenic reef",0.12,"   0.0","   0.0","  0.0","<0.1","   0.1","   0.7","   1.4","   5.2","   6.7"
"Infralittoral mud",0.12,"   0.0","   0.0","  0.0","<0.1","   0.2","   1.4","   4.2","  12.6","  12.9"
"Infralittoral coarse sediment",0.1,"   0.0","   0.0","  1.0","   1.0","   2.0","   5.3","   5.6","  12.0","  12.0"
"Circalittoral coarse sediment",0.1,"   0.7","   1.1","  3.0","   6.0","   7.7","  17.1","  17.1","  29.3","  29.3"
"Offshore circalittoral coarse sediment",0.08,"   0.2","   0.6","  1.1","   2.5","   2.5","   4.6","   5.7","   9.8","  23.3"
"Offshore circalittoral mixed sediment",0.06,"  13.0","  16.6"," 29.9","  38.6","  46.1","  68.9","  68.9","  82.2"," 100.1"
"Unknown",0,"   0.0","   0.0","  0.0","   0.0","   0.0","   0.0","<0.1","<0.1","<0.1"
