"MSFD","HabExt","Totwght","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",11.01,5438.9," 1.7","   4.6"," 8.8","13.1","18.4","27.8","39.0","52.9"," 71.3"
"Upper bathyal sediment",4.08,960.5," 0.0","   0.0"," 0.0"," 0.1"," 1.4"," 6.3","14.9","26.0"," 43.7"
"Circalittoral sand",1.79,797.8," 0.0","<0.1"," 1.6"," 2.8"," 5.7","12.8","20.5","43.0"," 70.3"
"Circalittoral mud",1.72,1711.3," 1.5","   5.3","11.3","16.4","22.6","32.5","44.4","56.3"," 72.4"
"Offshore circalittoral mud",1.28,1451.9," 3.4","   8.6","14.3","22.0","30.2","42.2","55.8","67.3"," 84.2"
"Offshore circalittoral sand",0.57,77.8," 3.3","  12.6","20.0","28.5","36.2","44.9","55.5","65.3"," 82.2"
"Infralittoral sand",0.44,68.1," 0.0","   0.0"," 0.0"," 0.1"," 4.8"," 9.9","37.4","40.5"," 44.7"
"Circalittoral mixed sediment",0.15,140.6," 1.8","   4.4"," 9.0","12.5","19.0","26.4","47.5","73.0","100.0"
"Infralittoral rock and biogenic reef",0.14,1.3," 0.0","   0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0","  7.2"
"Circalittoral rock and biogenic reef",0.13,7.7," 0.0","   0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 2.9","15.9"," 60.3"
"Infralittoral mixed sediment",0.13,23.9," 0.4","   1.3"," 3.8"," 3.8"," 7.0","10.3","27.0","35.6"," 58.3"
"Upper bathyal rock and biogenic reef",0.12,7.6," 0.0","   0.0"," 0.0"," 0.2"," 1.8"," 8.8","18.7","68.5"," 87.9"
"Infralittoral mud",0.12,17.1," 0.0","   0.0"," 0.0"," 0.2"," 1.0"," 8.4","24.5","73.5"," 75.5"
"Infralittoral coarse sediment",0.1,17.2," 0.0","   0.0"," 5.8"," 5.8","11.5","30.8","32.7","69.8"," 69.8"
"Circalittoral coarse sediment",0.1,32.8," 2.2","   3.2"," 9.2","18.2","23.5","52.0","52.0","89.4"," 89.4"
"Offshore circalittoral coarse sediment",0.08,23.3," 1.0","   2.7"," 4.8","10.7","10.7","19.7","24.3","42.1","100.0"
"Offshore circalittoral mixed sediment",0.06,100.1,"13.0","  16.6","29.9","38.6","46.1","68.9","68.9","82.1","100.0"
"Unknown",0,0," 0.0","   0.0"," 0.0"," 0.0"," 0.0"," 0.0","48.2","48.2"," 48.2"
