"MSFD","HabExt","SweptArea","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"total",21.25,100,"    439.2","   2385.2","   5017.5","   8086.2","  11801.8","  16118.8","  21165.4","  27374.0","  34989.9"
"Offshore circalittoral mud",5.33,33.03,"    424.9","   2331.2","   4839.9","   7646.8","  10804.2","  14156.9","  17955.1","  22156.1","  26860.8"
"Infralittoral sand",4.62,0.21,"      0.0","      0.0","      0.0","      0.0","      0.0","      0.0","      0.0","      1.2","     10.8"
"Circalittoral mud",3.21,6.67,"      0.0","      0.3","      7.0","     51.6","    326.3","    959.4","   1805.9","   3075.9","   4790.7"
"Circalittoral sand",2.94,1.66,"      0.0","      0.0","      0.0","      3.4","     10.6","     31.6","     95.1","    268.0","    729.4"
"Circalittoral mixed sediment",1.68,0.68,"      0.0","      0.0","      0.0","      0.0","      0.9","      3.8","     18.5","     65.6","    219.2"
"Infralittoral mixed sediment",1.04,0.04,"      0.0","      0.0","      0.0","      0.0","      0.0","      0.0","      0.6","      2.7","     10.8"
"Circalittoral coarse sediment",0.61,0.26,"      0.0","      0.0","      0.0","      0.0","      0.4","      4.5","     12.3","     24.2","     85.9"
"Infralittoral mud",0.52,0.03,"      0.0","      0.0","      0.0","      0.0","      0.0","      0.0","      0.1","      3.6","     11.8"
"Offshore circalittoral mixed sediment",0.42,1.39,"     10.8","     41.9","    115.1","    206.7","    351.9","    566.4","    727.7","    988.6","   1198.9"
"Infralittoral coarse sediment",0.4,0.05,"      0.0","      0.0","      0.0","      0.0","      0.0","      0.0","      0.0","      0.3","      3.5"
"Offshore circalittoral sand",0.35,0.97,"      1.9","      5.1","     29.4","    125.0","    224.4","    274.1","    390.6","    574.9","    788.9"
"Offshore circalittoral coarse sediment",0.06,0.28,"      1.6","      6.3","     24.4","     51.0","     79.7","    115.8","    145.4","    189.5","    253.8"
"Infralittoral rock and biogenic reef",0.03,0,"      0.0","      0.0","      0.0","      0.0","<0.1","      0.2","      0.3","      0.6","      1.3"
"Circalittoral rock and biogenic reef",0.03,0,"      0.0","      0.0","      0.0","<0.1","<0.1","      0.1","      0.5","      1.8","      3.1"
"Offshore circalittoral rock and biogenic reef",0.01,0.02,"<0.1","      0.5","      1.7","      1.7","      3.2","      6.0","     13.4","     20.9","     20.9"
"Unknown",0,0,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
