"MSFD","HabExt","SweptArea","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"total",21.25,100," 1.0","   5.3","11.1","17.8"," 26.0"," 35.6"," 46.7"," 60.4"," 77.2"
"Offshore circalittoral mud",5.33,33.03," 1.3","   7.1","14.7","23.1"," 32.7"," 42.9"," 54.4"," 67.1"," 81.3"
"Infralittoral sand",4.62,0.21," 0.0","   0.0"," 0.0"," 0.0","  0.0","  0.0","  0.0","  0.6","  5.3"
"Circalittoral mud",3.21,6.67," 0.0","<0.1"," 0.1"," 0.8","  4.9"," 14.4"," 27.1"," 46.1"," 71.8"
"Circalittoral sand",2.94,1.66," 0.0","   0.0"," 0.0"," 0.2","  0.6","  1.9","  5.7"," 16.2"," 44.1"
"Circalittoral mixed sediment",1.68,0.68," 0.0","   0.0"," 0.0"," 0.0","  0.1","  0.6","  2.7","  9.6"," 32.2"
"Infralittoral mixed sediment",1.04,0.04," 0.0","   0.0"," 0.0"," 0.0","  0.0","  0.0","  1.4","  6.6"," 26.4"
"Circalittoral coarse sediment",0.61,0.26," 0.0","   0.0"," 0.0"," 0.0","  0.2","  1.7","  4.6","  9.2"," 32.6"
"Infralittoral mud",0.52,0.03," 0.0","   0.0"," 0.0"," 0.0","  0.0","  0.0","  0.3"," 11.2"," 36.4"
"Offshore circalittoral mixed sediment",0.42,1.39," 0.8","   3.0"," 8.3","14.9"," 25.3"," 40.7"," 52.3"," 71.0"," 86.1"
"Infralittoral coarse sediment",0.4,0.05," 0.0","   0.0"," 0.0"," 0.0","  0.0","  0.0","  0.0","  0.6","  6.9"
"Offshore circalittoral sand",0.35,0.97," 0.2","   0.5"," 3.0","12.9"," 23.2"," 28.3"," 40.3"," 59.3"," 81.4"
"Offshore circalittoral coarse sediment",0.06,0.28," 0.6","   2.2"," 8.7","18.2"," 28.4"," 41.3"," 51.8"," 67.5"," 90.4"
"Infralittoral rock and biogenic reef",0.03,0," 0.0","   0.0"," 0.0"," 0.0","  0.5","  7.1"," 10.7"," 23.7"," 54.3"
"Circalittoral rock and biogenic reef",0.03,0," 0.0","   0.0"," 0.0"," 0.8","  1.1","  2.9"," 11.1"," 38.9"," 65.7"
"Offshore circalittoral rock and biogenic reef",0.01,0.02," 0.1","   2.2"," 8.0"," 8.0"," 15.5"," 28.9"," 64.0","100.0","100.0"
"Unknown",0,0,"10.2","  10.2","10.2","10.2","100.0","100.0","100.0","100.0","100.0"
