"MSFD","HabExt","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",21.25,"   283.3","  1370.4","  2852.0","  4546.5","  6713.0","  9123.9"," 12101.5"," 15407.8"," 19756.0"
"Offshore circalittoral mud",5.33,"   274.3","  1337.9","  2745.1","  4272.6","  6025.3","  7860.9"," 10004.5"," 12117.9"," 14608.6"
"Infralittoral sand",4.62,"     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     5.0","    14.1"
"Circalittoral mud",3.21,"     0.0","     0.7","    10.4","    53.1","   318.1","   699.9","  1306.7","  2078.9","  3185.3"
"Circalittoral sand",2.94,"     0.0","     0.0","     0.0","     5.3","     9.3","    25.4","    64.7","   168.6","   456.9"
"Circalittoral mixed sediment",1.68,"     0.0","     0.0","     0.0","     0.0","     0.5","     3.0","    11.8","    37.3","   122.5"
"Infralittoral mixed sediment",1.04,"     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.4","     1.7","    16.3"
"Circalittoral coarse sediment",0.61,"     0.0","     0.0","     0.0","     0.0","     0.3","     2.7","     7.1","    15.6","    53.6"
"Infralittoral mud",0.52,"     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.8","    10.3","    64.3"
"Offshore circalittoral mixed sediment",0.42,"     6.6","    23.9","    60.6","   107.4","   182.5","   289.2","   376.1","   515.9","   625.6"
"Infralittoral coarse sediment",0.4,"     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.3","     2.1"
"Offshore circalittoral sand",0.35,"     1.1","     3.5","    21.8","    81.4","   134.8","   181.2","   249.2","   351.3","   464.4"
"Offshore circalittoral coarse sediment",0.06,"     1.3","     4.1","    13.3","    25.9","    40.5","    58.8","    73.1","    93.5","   130.1"
"Infralittoral rock and biogenic reef",0.03,"     0.0","     0.0","     0.0","     0.0","<0.1","<0.1","<0.1","     0.3","     0.6"
"Circalittoral rock and biogenic reef",0.03,"     0.0","     0.0","     0.0","<0.1","<0.1","<0.1","     0.3","     0.9","     1.6"
"Offshore circalittoral rock and biogenic reef",0.01,"<0.1","     0.2","     0.8","     0.8","     1.6","     2.9","     6.6","    10.2","    10.2"
"Unknown",0,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
