"MSFD","HabExt","TotVal","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",21.25,25236.7," 1.1","   5.4","11.3","18.0"," 26.6"," 36.2"," 48.0"," 61.1"," 78.3"
"Offshore circalittoral mud",5.33,17395.6," 1.6","   7.7","15.8","24.6"," 34.6"," 45.2"," 57.5"," 69.7"," 84.0"
"Infralittoral sand",4.62,176.2," 0.0","   0.0"," 0.0"," 0.0","  0.0","  0.0","  0.0","  2.9","  8.0"
"Circalittoral mud",3.21,4390.2," 0.0","<0.1"," 0.2"," 1.2","  7.2"," 15.9"," 29.8"," 47.4"," 72.6"
"Circalittoral sand",2.94,999.4," 0.0","   0.0"," 0.0"," 0.5","  0.9","  2.5","  6.5"," 16.9"," 45.7"
"Circalittoral mixed sediment",1.68,361.1," 0.0","   0.0"," 0.0"," 0.0","  0.1","  0.8","  3.3"," 10.3"," 33.9"
"Infralittoral mixed sediment",1.04,33.9," 0.0","   0.0"," 0.0"," 0.0","  0.0","  0.0","  1.3","  5.1"," 48.0"
"Circalittoral coarse sediment",0.61,153.8," 0.0","   0.0"," 0.0"," 0.0","  0.2","  1.7","  4.6"," 10.1"," 34.8"
"Infralittoral mud",0.52,231.1," 0.0","   0.0"," 0.0"," 0.0","  0.0","  0.0","  0.3","  4.5"," 27.8"
"Offshore circalittoral mixed sediment",0.42,729," 0.9","   3.3"," 8.3","14.7"," 25.0"," 39.7"," 51.6"," 70.8"," 85.8"
"Infralittoral coarse sediment",0.4,30.7," 0.0","   0.0"," 0.0"," 0.0","  0.0","  0.0","  0.0","  0.8","  6.8"
"Offshore circalittoral sand",0.35,579," 0.2","   0.6"," 3.8","14.1"," 23.3"," 31.3"," 43.0"," 60.7"," 80.2"
"Offshore circalittoral coarse sediment",0.06,142.8," 0.9","   2.9"," 9.3","18.2"," 28.4"," 41.2"," 51.2"," 65.5"," 91.1"
"Infralittoral rock and biogenic reef",0.03,1.2," 0.0","   0.0"," 0.0"," 0.0","  0.8","  5.5","  8.1"," 22.9"," 50.6"
"Circalittoral rock and biogenic reef",0.03,2.4," 0.0","   0.0"," 0.0"," 0.8","  1.0","  2.3"," 10.9"," 38.7"," 66.0"
"Offshore circalittoral rock and biogenic reef",0.01,10.2," 0.1","   2.3"," 8.1"," 8.1"," 15.4"," 28.6"," 64.0","100.0","100.0"
"Unknown",0,0,"13.7","  13.7","13.7","13.7","100.0","100.0","100.0","100.0","100.0"
