"MSFD","HabExt","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",21.25,"  70.5"," 252.0"," 559.4"," 881.2","1629.8","2070.6","2580.8","3270.0","4317.8"
"Offshore circalittoral mud",5.33,"  67.1"," 243.1"," 509.1"," 754.2","1013.7","1293.1","1621.3","1963.9","2370.2"
"Infralittoral sand",4.62,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  19.3","  37.6"
"Circalittoral mud",3.21,"   0.0","   0.7","  27.6","  63.2"," 526.6"," 641.7"," 757.8"," 908.6","1102.5"
"Circalittoral sand",2.94,"   0.0","   0.0","   0.0","  21.3","  25.3","  42.2","  67.3"," 105.4"," 193.2"
"Circalittoral mixed sediment",1.68,"   0.0","   0.0","   0.0","   0.0","   0.4","   4.8","  11.6","  21.2","  43.4"
"Infralittoral mixed sediment",1.04,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.8","   2.3","  39.8"
"Circalittoral coarse sediment",0.61,"   0.0","   0.0","   0.0","   0.0","   0.1","   0.9","   5.4","   8.7","  27.4"
"Infralittoral mud",0.52,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.3","  88.1"," 311.3"
"Offshore circalittoral mixed sediment",0.42,"   2.6","   5.4","  13.4","  20.0","  30.7","  46.5","  57.8","  77.8","  94.5"
"Infralittoral coarse sediment",0.4,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","<0.1","   0.5"
"Offshore circalittoral sand",0.35,"   0.4","   1.7","   6.6","  18.1","  26.6","  32.3","  44.2","  59.9","  77.0"
"Offshore circalittoral coarse sediment",0.06,"   0.3","   1.1","   2.7","   4.4","   6.3","   8.8","  10.7","  13.5","  19.1"
"Infralittoral rock and biogenic reef",0.03,"   0.0","   0.0","   0.0","   0.0","<0.1","<0.1","<0.1","<0.1","<0.1"
"Circalittoral rock and biogenic reef",0.03,"   0.0","   0.0","   0.0","<0.1","<0.1","<0.1","<0.1","   0.1","   0.2"
"Offshore circalittoral rock and biogenic reef",0.01,"<0.1","<0.1","<0.1","<0.1","   0.2","   0.3","   0.7","   1.1","   1.1"
"Unknown",0,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
