"MSFD","HabExt","SweptArea","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"total",40.93,100,"    436.0","   2066.0","   4642.0","   8347.7","  12847.1","  19028.8","  27730.7","  39958.3","  56215.7"
"Upper bathyal sediment",15.27,34.99,"      0.0","     26.4","    161.5","    578.6","   1488.3","   3301.7","   6718.5","  12885.8","  21169.2"
"Offshore circalittoral sand",7.58,20.18,"     69.7","    454.0","   1344.3","   2645.6","   4160.6","   6204.0","   8802.3","  11684.9","  15469.5"
"Offshore circalittoral mud",4.39,15.31,"    310.9","   1356.2","   2599.5","   4090.4","   5543.1","   6908.5","   8484.5","  10316.3","  12602.3"
"Offshore circalittoral rock and biogenic reef",2.89,3.41,"      0.0","      5.8","     73.3","    232.7","    471.6","    760.7","   1214.5","   1747.5","   2509.0"
"Circalittoral rock and biogenic reef",2.28,0.47,"      0.0","      0.0","      0.0","      0.0","      0.0","      0.0","      1.7","     20.2","    104.8"
"Circalittoral sand",1.55,0.5,"      0.0","      0.0","      0.0","      0.0","      0.0","      0.0","      2.5","     26.0","    117.9"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",1.46,0.25,"      0.0","      0.0","      0.0","      0.0","      0.4","      3.7","     11.0","     25.3","     82.2"
"Offshore circalittoral coarse sediment",1.24,1.75,"      1.9","     30.5","    114.1","    242.8","    388.2","    585.0","    758.7","   1015.2","   1304.3"
"Upper bathyal rock and biogenic reef",0.86,1.43,"      0.0","      0.0","<0.1","      7.3","     41.3","    170.9","    420.6","    678.9","    969.8"
"Offshore circalittoral mixed sediment",0.66,2.12,"     53.5","    165.2","    321.4","    521.1","    724.3","   1034.9","   1247.8","   1441.4","   1722.2"
"Infralittoral rock and biogenic reef",0.53,0.02,"      0.0","      0.0","      0.0","      0.0","      0.0","      0.0","      0.0","      0.0","      0.3"
"Lower bathyal sediment",0.5,0.05,"      0.0","      0.0","<0.1","      0.7","      0.9","      1.8","      4.7","      8.7","     19.8"
"Circalittoral coarse sediment",0.49,0.15,"      0.0","      0.0","      0.0","      0.0","      0.0","      1.0","      5.4","     17.2","     46.1"
"Circalittoral mud",0.31,0.04,"      0.0","      0.0","      0.0","      0.0","      0.0","      0.0","      0.2","      1.0","      6.1"
"Infralittoral sand",0.27,0,"      0.0","      0.0","      0.0","      0.0","      0.0","      0.0","      0.0","      0.0","<0.1"
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",0.24,0.01,"      0.0","      0.0","      0.0","      0.0","<0.1","      1.2","      2.3","      3.6","      5.1"
"Circalittoral mixed sediment",0.12,0.01,"      0.0","      0.0","      0.0","      0.0","      0.0","      0.0","<0.1","      0.5","      1.1"
"Infralittoral mud",0.08,0,"      0.0","      0.0","      0.0","      0.0","      0.0","      0.0","      0.0","      0.0","      0.0"
"Infralittoral mixed sediment",0.07,0,"      0.0","      0.0","      0.0","      0.0","      0.0","      0.0","      0.0","      0.0","<0.1"
"Unknown",0.06,0.08,"      0.0","     27.8","     27.8","     27.8","     27.8","     54.5","     54.5","     84.3","     84.3"
"Lower bathyal rock and biogenic reef",0.04,0,"      0.0","      0.0","      0.0","      0.5","      0.5","      0.9","      1.3","      1.3","      1.3"
"Infralittoral coarse sediment",0.03,0.01,"      0.0","      0.0","      0.0","      0.0","      0.0","      0.0","      0.0","<0.1","<0.1"
"Abyssal",0.01,0,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
