"MSFD","HabExt","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",40.93," 180.6"," 935.1","2188.1","3932.7","5834.2","8352.5","12211.4","17819.8","25184.1"
"Upper bathyal sediment",15.27,"   0.0","  12.7","  67.0"," 238.2"," 585.9","1381.9"," 3178.6"," 6404.0","10583.1"
"Offshore circalittoral sand",7.58,"  31.1"," 183.7"," 601.2","1278.5","2032.4","2818.7"," 3867.9"," 4924.7"," 6284.4"
"Offshore circalittoral mud",4.39," 126.2"," 596.7","1256.1","1902.1","2472.5","2953.4"," 3461.6"," 4127.8"," 4957.3"
"Offshore circalittoral rock and biogenic reef",2.89,"   0.0","   2.3","  33.8"," 119.0"," 209.5"," 324.0","  521.3","  806.4"," 1187.8"
"Circalittoral rock and biogenic reef",2.28,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","    0.9","   12.4","   53.0"
"Circalittoral sand",1.55,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","    1.6","   12.2","   58.5"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",1.46,"   0.0","   0.0","   0.0","   0.0","   0.4","   1.7","    6.0","   14.9","   76.9"
"Offshore circalittoral coarse sediment",1.24,"   1.0","  14.6","  56.0"," 145.0"," 201.5"," 317.8","  381.1","  487.1","  619.2"
"Upper bathyal rock and biogenic reef",0.86,"   0.0","   0.0","<0.1","   3.9","  27.4"," 103.2","  244.9","  400.4","  599.6"
"Offshore circalittoral mixed sediment",0.66,"  22.4","  67.9"," 116.6"," 188.4"," 247.1"," 361.6","  453.3","  489.1","  591.3"
"Infralittoral rock and biogenic reef",0.53,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","    0.0","    0.0","    0.2"
"Lower bathyal sediment",0.5,"   0.0","   0.0","<0.1","   0.3","   0.3","   0.5","    1.5","    3.4","   13.2"
"Circalittoral coarse sediment",0.49,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.8","    2.6","    9.9","   29.3"
"Circalittoral mud",0.31,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," -100.0","    0.2","    2.3"
"Infralittoral sand",0.27,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","    0.0","    0.0"," -100.0"
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",0.24,"   0.0","   0.0","   0.0","   0.0","<0.1","   0.9","    1.5","    2.2","    2.8"
"Circalittoral mixed sediment",0.12,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," -100.0"," -100.0","    0.4"
"Infralittoral mud",0.08,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","    0.0","    0.0","    0.0"
"Infralittoral mixed sediment",0.07,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","    0.0","    0.0"," -100.0"
"Unknown",0.06,"   0.0","  57.2","  57.2","  57.2","  57.2","  87.7","   87.7","  124.0","  124.0"
"Lower bathyal rock and biogenic reef",0.04,"   0.0","   0.0","   0.0","<0.1","<0.1","   0.3","    0.8","    0.8","    0.8"
"Infralittoral coarse sediment",0.03,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","    0.0"," -100.0"," -100.0"
"Abyssal",0.01,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"," -100.0"," -100.0"," -100.0"
