"MSFD","HabExt","SweptArea","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"total",119.3,100,"<0.1","   0.5","   2.1","  5.1","  9.6"," 16.4"," 26.5"," 41.0"," 63.3"
"Upper bathyal sediment",43.39,87.86,"<0.1","   0.7","   2.8","  6.7"," 12.0"," 19.9"," 31.1"," 46.9"," 68.5"
"Unknown",23.75,7.06,"   0.0","   0.0","<0.1","  0.2","  0.7","  1.6","  3.5","  9.4"," 27.7"
"Offshore circalittoral coarse sediment",18.43,1.19,"   0.0","   0.0","   0.0","  0.5","  1.8","  3.9","  6.8"," 11.8"," 23.3"
"Offshore circalittoral sand",7.53,3.53,"   0.0","   0.3","   0.9","  2.3","  5.4"," 10.5"," 18.8"," 31.5"," 53.0"
"Offshore circalittoral mud",6.98,20.15,"<0.1","   0.1","   0.5","  1.9","  5.1"," 11.2"," 20.5"," 34.0"," 60.6"
"Circalittoral coarse sediment",4.34,0.16,"   0.0","   0.0","   0.0","  0.0","  0.9","  3.2","  7.3"," 14.0"," 25.6"
"Offshore circalittoral mixed sediment",4,0.14,"   0.0","   0.0","   0.2","  1.7","  4.2","  8.2"," 14.7"," 26.5"," 45.3"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",3.34,3.78,"   0.0","<0.1","   0.2","  0.6","  2.1","  4.9"," 11.8"," 23.2"," 50.6"
"Offshore circalittoral rock and biogenic reef",2.14,0.15,"   0.0","   0.0","   0.0","  0.9","  2.6","  5.6"," 12.2"," 19.3"," 35.0"
"Circalittoral sand",2.08,0.28,"   0.0","   0.0","   0.3","  1.7","  4.7","  8.7"," 16.0"," 28.4"," 48.9"
"Circalittoral rock and biogenic reef",2.08,0.21,"   0.0","   0.0","   0.0","  0.0","  1.0","  3.6","  8.7"," 20.8"," 44.0"
"Circalittoral mud",0.66,0.09,"   0.1","   1.0","   2.9","  6.2"," 13.6"," 21.6"," 28.7"," 43.3"," 59.7"
"Infralittoral sand",0.14,0,"   0.0","   1.0","   3.1","  8.1"," 12.0"," 21.5"," 32.0"," 45.3"," 65.5"
"Infralittoral rock and biogenic reef",0.12,0.01,"   0.0","   0.1","   0.7","  2.0","  3.3"," 11.0"," 29.6"," 47.7"," 84.0"
"Infralittoral coarse sediment",0.1,0,"   0.0","   0.0","   1.6","  6.9"," 12.7"," 14.4"," 22.7"," 36.4"," 54.2"
"Circalittoral mixed sediment",0.09,0.01,"   0.0","   0.0","   0.0","  0.8","  2.5","  5.3"," 25.0"," 25.0","100.0"
"Infralittoral mud",0.09,0,"   0.0","   0.0","   0.0","  0.2","  6.2","  7.3","  7.3"," 30.6"," 69.9"
"Infralittoral mixed sediment",0.03,0,"   0.0","   0.0","   0.0","  0.0","  0.0","  1.0","  3.4"," 31.4","100.0"
"Lower bathyal sediment",0.01,0,"  20.7","  20.7"," 100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"Upper bathyal rock and biogenic reef",0,0,"   0.0","   0.0","   0.0","  0.0","  0.0","  0.0","100.0","100.0","100.0"
