"MSFD","HabExt","TotVal","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",119.3,68047.6,"<0.1","   1.2","   4.2","  7.0"," 12.4"," 20.7"," 29.8"," 43.6"," 63.6"
"Upper bathyal sediment",43.39,43417.2,"   0.1","   1.8","   6.2"," 10.1"," 17.0"," 27.5"," 37.6"," 50.7"," 68.6"
"Unknown",23.75,2724.3,"   0.0","   0.0","<0.1","  0.4","  1.5","  3.7","  6.7"," 16.9"," 34.4"
"Offshore circalittoral coarse sediment",18.43,1970.1,"   0.0","   0.0","   0.0","  0.3","  1.8","  4.0","  7.0"," 12.2"," 27.5"
"Offshore circalittoral sand",7.53,3362.3,"   0.0","   0.6","   1.4","  4.2"," 10.4"," 17.5"," 27.6"," 46.2"," 70.0"
"Offshore circalittoral mud",6.98,13307.1,"<0.1","   0.1","   0.5","  1.6","  4.0","  9.0"," 17.4"," 35.4"," 62.1"
"Circalittoral coarse sediment",4.34,269,"   0.0","   0.0","   0.0","  0.0","  1.0","  3.5"," 10.3"," 20.9"," 36.9"
"Offshore circalittoral mixed sediment",4,79.1,"   0.0","   0.0","   0.3","  2.6","  5.8"," 15.3"," 24.3"," 36.8"," 54.8"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",3.34,2036.7,"   0.0","<0.1","   0.3","  0.7","  1.9","  3.6","  7.7"," 15.3"," 39.7"
"Offshore circalittoral rock and biogenic reef",2.14,202.8,"   0.0","   0.0","   0.0","  1.4","  3.8","  7.5"," 14.4"," 20.8"," 32.5"
"Circalittoral sand",2.08,273.2,"   0.0","   0.0","   0.9","  6.0","  9.7"," 17.3"," 24.6"," 37.4"," 62.7"
"Circalittoral rock and biogenic reef",2.08,287.4,"   0.0","   0.0","   0.0","  0.0","  1.0","  3.6"," 10.3"," 27.4"," 45.9"
"Circalittoral mud",0.66,74,"   0.4","   2.0","   5.4"," 10.3"," 15.5"," 22.8"," 28.1"," 42.5"," 60.1"
"Infralittoral sand",0.14,10,"   0.0","   1.2","   4.1","  6.5"," 11.2"," 14.8"," 15.9"," 50.3"," 58.9"
"Infralittoral rock and biogenic reef",0.12,9.8,"   0.0","   0.4","   1.8","  3.8","  5.0"," 15.0"," 28.1"," 51.1"," 81.8"
"Infralittoral coarse sediment",0.1,5.3,"   0.0","   0.0","   2.1"," 12.7"," 16.4"," 20.4"," 34.3"," 41.5"," 82.2"
"Circalittoral mixed sediment",0.09,13.9,"   0.0","   0.0","   0.0","  0.3","  0.5","  1.9"," 44.4"," 44.4","100.0"
"Infralittoral mud",0.09,3,"   0.0","   0.0","   0.0","  2.0","  6.2"," 15.8"," 15.8"," 25.9"," 76.2"
"Infralittoral mixed sediment",0.03,0.2,"   0.0","   0.0","   0.0","  0.0","  0.0","  0.7","  0.8"," 39.8","100.0"
"Lower bathyal sediment",0.01,1.9,"  21.6","  21.6"," 100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"Upper bathyal rock and biogenic reef",0,0.1,"   0.0","   0.0","   0.0","  0.0","  0.0","  0.0","100.0","100.0","100.0"
