"MSFD","HabExt","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",119.3,"98.1"," 464.7"," 964.1","1818.2","2931.8","4512.6","6528.9","9529.2","13580.9"
"Upper bathyal sediment",43.39,"97.4"," 448.4"," 913.8","1665.0","2481.1","3674.8","5133.8","7029.2"," 9409.5"
"Unknown",23.75," 0.0","   0.0","   0.6","   3.5","  12.7","  30.4","  60.1"," 157.7","  321.0"
"Offshore circalittoral coarse sediment",18.43," 0.0","   0.0","   0.0","   2.5","  12.9","  25.1","  40.4","  73.9","  232.8"
"Offshore circalittoral sand",7.53," 0.0","   7.5","  18.7","  49.7"," 193.0"," 279.6"," 394.7"," 794.6"," 1047.0"
"Offshore circalittoral mud",6.98," 0.4","   7.2","  25.3","  78.6"," 192.9"," 413.6"," 725.2","1168.1"," 2039.0"
"Circalittoral coarse sediment",4.34," 0.0","   0.0","   0.0","   0.0","   1.2","   5.5","  15.8","  28.9","   42.9"
"Offshore circalittoral mixed sediment",4," 0.0","   0.0","<0.1","   0.7","   1.7","   5.0","   8.1","  11.9","   18.0"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",3.34," 0.0","   0.3","   1.4","   4.0","  16.4","  38.4","  84.0"," 162.5","  303.3"
"Offshore circalittoral rock and biogenic reef",2.14," 0.0","   0.0","   0.0","   0.7","   1.9","   4.1","   9.9","  14.1","   23.6"
"Circalittoral sand",2.08," 0.0","   0.0","   1.5","   9.2","  12.1","  26.2","  35.3","  47.3","   73.1"
"Circalittoral rock and biogenic reef",2.08," 0.0","   0.0","   0.0","   0.0","   0.7","   2.9","   7.6","  21.4","   42.8"
"Circalittoral mud",0.66," 0.1","   1.1","   1.8","   2.6","   3.5","   4.8","   5.7","   7.9","   10.4"
"Infralittoral sand",0.14," 0.0","<0.1","   0.3","   0.4","   0.4","   0.5","   0.6","   3.4","    3.5"
"Infralittoral rock and biogenic reef",0.12," 0.0","<0.1","<0.1","<0.1","<0.1","   0.3","   0.6","   1.0","    1.8"
"Infralittoral coarse sediment",0.1," 0.0","   0.0","<0.1","   0.5","   0.6","   0.7","   0.8","   1.0","    1.4"
"Circalittoral mixed sediment",0.09," 0.0","   0.0","   0.0","<0.1","<0.1","<0.1","   5.4","   5.4","    8.3"
"Infralittoral mud",0.09," 0.0","   0.0","   0.0","<0.1","<0.1","   0.1","   0.1","   0.2","    1.8"
"Infralittoral mixed sediment",0.03," 0.0","   0.0","   0.0","   0.0","   0.0","<0.1","<0.1","<0.1"," -100.0"
"Lower bathyal sediment",0.01," 0.1","   0.1","   0.6","   0.6","   0.6","   0.6","   0.6","   0.6","    0.6"
"Upper bathyal rock and biogenic reef",0," 0.0","   0.0","   0.0","   0.0","   0.0","   0.0","<0.1","<0.1"," -100.0"
