"MSFD","HabExt","Totwght","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",119.3,20118,"   0.5","   2.3","   4.8","  9.0"," 14.6"," 22.4"," 32.5"," 47.4"," 67.5"
"Upper bathyal sediment",43.39,12653.1,"   0.8","   3.5","   7.2"," 13.2"," 19.6"," 29.0"," 40.6"," 55.6"," 74.4"
"Unknown",23.75,922.2,"   0.0","   0.0","<0.1","  0.4","  1.4","  3.3","  6.5"," 17.1"," 34.8"
"Offshore circalittoral coarse sediment",18.43,749,"   0.0","   0.0","   0.0","  0.3","  1.7","  3.3","  5.4","  9.9"," 31.1"
"Offshore circalittoral sand",7.53,1364.7,"   0.0","   0.5","   1.4","  3.6"," 14.1"," 20.5"," 28.9"," 58.2"," 76.7"
"Offshore circalittoral mud",6.98,3415.4,"<0.1","   0.2","   0.7","  2.3","  5.6"," 12.1"," 21.2"," 34.2"," 59.7"
"Circalittoral coarse sediment",4.34,130.7,"   0.0","   0.0","   0.0","  0.0","  0.9","  4.2"," 12.1"," 22.1"," 32.8"
"Offshore circalittoral mixed sediment",4,32.7,"   0.0","   0.0","   0.2","  2.2","  5.1"," 15.4"," 24.9"," 36.5"," 55.2"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",3.34,508.6,"   0.0","<0.1","   0.3","  0.8","  3.2","  7.5"," 16.5"," 32.0"," 59.6"
"Offshore circalittoral rock and biogenic reef",2.14,78.2,"   0.0","   0.0","   0.0","  0.9","  2.5","  5.2"," 12.7"," 18.0"," 30.2"
"Circalittoral sand",2.08,120.5,"   0.0","   0.0","   1.3","  7.7"," 10.1"," 21.7"," 29.3"," 39.3"," 60.7"
"Circalittoral rock and biogenic reef",2.08,108.2,"   0.0","   0.0","   0.0","  0.0","  0.7","  2.7","  7.1"," 19.8"," 39.6"
"Circalittoral mud",0.66,16.2,"   0.9","   7.0","  11.2"," 16.1"," 21.5"," 29.7"," 35.2"," 48.8"," 64.6"
"Infralittoral sand",0.14,4.2,"   0.0","   0.9","   6.8","  8.9"," 10.7"," 12.7"," 14.6"," 80.8"," 84.3"
"Infralittoral rock and biogenic reef",0.12,2.1,"   0.0","   0.4","   1.4","  3.0","  4.0"," 16.4"," 29.0"," 46.6"," 87.4"
"Infralittoral coarse sediment",0.1,1.6,"   0.0","   0.0","   1.7"," 33.7"," 38.5"," 43.2"," 51.5"," 64.1"," 85.8"
"Circalittoral mixed sediment",0.09,8.3,"   0.0","   0.0","   0.0","  0.2","  0.2","  0.6"," 65.1"," 65.1","100.0"
"Infralittoral mud",0.09,1.9,"   0.0","   0.0","   0.0","  0.6","  2.3","  6.6","  6.6","  9.3"," 93.9"
"Infralittoral mixed sediment",0.03,0.1,"   0.0","   0.0","   0.0","  0.0","  0.0","  1.0","  1.2"," 37.7","100.0"
"Lower bathyal sediment",0.01,0.6,"  22.0","  22.0"," 100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"Upper bathyal rock and biogenic reef",0,0,"   0.0","   0.0","   0.0","  0.0","  0.0","  0.0","100.0","100.0","100.0"
