"MSFD","HabExt","SweptArea","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"total",9.06,100,"    641.8","   2439.0","   5218.4","   9326.2","14315.2","19720.3","  26395.1","  34260.9","  43699.8"
"Offshore circalittoral mud",4.58,34.81,"    597.4","   1985.5","   3849.3","   6415.5"," 9436.4","12694.5","  16663.7","  21435.2","  27168.0"
"Upper bathyal sediment",2.48,15.51,"      0.5","    171.6","    831.5","   1929.2"," 3370.9"," 4986.7","   6825.9","   8877.7","  11668.7"
"Offshore circalittoral mixed sediment",0.86,2.05,"      3.3","     36.7","     71.5","    192.1","  326.6","  557.5","    887.8","   1250.5","   1609.2"
"Offshore circalittoral rock and biogenic reef",0.29,0.76,"      0.4","      3.4","      8.7","     32.0","   63.0","  145.6","    262.7","    378.0","    516.5"
"Circalittoral rock and biogenic reef",0.23,0.16,"      0.0","      0.0","<0.1","      0.6","    2.7","    5.0","      8.9","     19.5","     69.2"
"Offshore circalittoral sand",0.21,2.78,"     39.8","    240.4","    454.9","    748.6"," 1095.5"," 1270.6","   1677.4","   2181.4","   2447.7"
"Circalittoral mud",0.13,0.14,"      0.0","      0.0","      0.0","      0.0","    0.0","    0.0","      0.0","      1.3","     10.3"
"Infralittoral rock and biogenic reef",0.11,0.06,"      0.0","      0.0","      0.0","<0.1","    0.2","    0.7","      2.2","      2.9","     16.9"
"Infralittoral mud",0.06,0.01,"      0.0","      0.0","      0.0","      0.0","    0.0","    0.0","      0.0","      0.0","<0.1"
"Circalittoral mixed sediment",0.04,0.01,"      0.0","      0.0","      0.0","<0.1","    0.2","    0.3","      1.0","      1.7","      4.1"
"Offshore circalittoral coarse sediment",0.02,0.02,"<0.1","<0.1","      1.0","      1.3","    1.3","    1.8","      7.1","     10.8","     15.5"
"Circalittoral coarse sediment",0.02,0.02,"<0.1","<0.1","<0.1","<0.1","    0.4","    0.8","      1.6","      4.0","     12.1"
"Circalittoral sand",0.02,0.07,"<0.1","<0.1","      0.2","      0.5","    2.7","   25.3","     25.3","     43.7","     69.7"
"Infralittoral sand",0.01,0.08,"<0.1","<0.1","<0.1","      4.7","   11.0","   23.4","     23.4","     46.1","     77.7"
"Infralittoral mixed sediment",0,0,"      0.0","      0.0","      0.0","      0.0","    0.0","    0.0","      0.0","      0.0","<0.1"
"Unknown",0,0,"      0.0","      0.0","      0.0","      0.0","    0.0","    0.0","<0.1","<0.1","      0.1"
"Infralittoral coarse sediment",0,0.01,"      0.0","<0.1","<0.1","<0.1","    2.0","    5.9","      5.9","      5.9","     11.3"
"Upper bathyal rock and biogenic reef",0,0,"      0.4","      1.1","      1.1","      1.6","    2.2","    2.2","      2.2","      2.2","      2.7"
