"MSFD","HabExt","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",9.06,"  66.7"," 270.4"," 639.1","1209.5","1890.2","2622.5","3537.0","4591.0","5952.3"
"Offshore circalittoral mud",4.58,"  60.7"," 199.1"," 422.8"," 761.6","1140.4","1548.4","2065.9","2667.7","3467.1"
"Upper bathyal sediment",2.48,"<0.1","  24.9"," 131.0"," 290.8"," 527.9"," 793.2","1109.7","1451.9","1926.1"
"Offshore circalittoral mixed sediment",0.86,"   0.3","   3.1","   5.7","  16.1","  26.8","  46.1","  66.6","  97.2"," 123.3"
"Offshore circalittoral rock and biogenic reef",0.29,"<0.1","   0.3","   0.8","   2.9","   5.2","  11.8","  21.4","  30.0","  42.0"
"Circalittoral rock and biogenic reef",0.23,"   0.0","   0.0","<0.1","<0.1","   0.3","   0.5","   0.8","   1.7","   6.0"
"Offshore circalittoral sand",0.21,"   5.7","  42.8","  78.5"," 137.0"," 187.1"," 215.4"," 264.7"," 327.9"," 361.9"
"Circalittoral mud",0.13,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.1","   1.2"
"Infralittoral rock and biogenic reef",0.11,"   0.0","   0.0","   0.0","<0.1","<0.1","<0.1","   0.2","   0.3","   1.5"
"Infralittoral mud",0.06,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","<0.1"
"Circalittoral mixed sediment",0.04,"   0.0","   0.0","   0.0","<0.1","<0.1","<0.1","<0.1","   0.2","   0.4"
"Offshore circalittoral coarse sediment",0.02,"<0.1","<0.1","<0.1","   0.1","   0.1","   0.2","   0.7","   0.9","   1.3"
"Circalittoral coarse sediment",0.02,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","   0.1","   0.4","   1.3"
"Circalittoral sand",0.02,"<0.1","<0.1","<0.1","<0.1","   0.3","   2.8","   2.8","   5.6","   9.0"
"Infralittoral sand",0.01,"<0.1","<0.1","<0.1","   0.5","   1.5","   3.0","   3.0","   6.0","   9.5"
"Infralittoral mixed sediment",0,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","<0.1"
"Unknown",0,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","<0.1","<0.1","<0.1"
"Infralittoral coarse sediment",0,"   0.0","<0.1","<0.1","<0.1","   0.2","   0.7","   0.7","   0.7","   1.2"
"Upper bathyal rock and biogenic reef",0,"<0.1","   0.2","   0.2","   0.3","   0.3","   0.3","   0.3","   0.3","   0.4"
