"MSFD","HabExt","SweptArea","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"total",130.55,100,"0.0","1.0","17.9","56.1","148.7","240.2","415.7","1045.2","   3403.7"
"Offshore circalittoral mud or Offshore circalittoral sand",28.01,1.28,"0.0","0.0"," 0.0"," 0.0","  0.0","  0.0","  0.0","   0.5","     56.4"
"Circalittoral mixed sediment",26.93,0.65,"0.0","0.0"," 0.0"," 0.0","  0.0","  0.0","  0.0","   0.0","      5.8"
"Circalittoral mud or Circalittoral sand",14.74,0.51,"0.0","0.0"," 0.0"," 0.0","  0.0","  0.0","  0.0","  14.2","     87.6"
"Offshore circalittoral mixed sediment",14.57,4.87,"0.0","0.0"," 0.0"," 0.0","  0.0","  0.0","  0.8","  91.8","   1252.5"
"Circalittoral sand",9.2,1.29,"0.0","0.0"," 0.0"," 0.0","  0.0","  3.5"," 19.3","  62.1","    168.3"
"Circalittoral mud",8.76,0.89,"0.0","0.0"," 0.0"," 0.0","  0.0","  0.0","  0.0","   6.6","    185.6"
"Offshore circalittoral mud",8.44,2.81,"0.0","0.0"," 0.0"," 0.0","  0.0","  0.0"," 87.7"," 464.9","   1127.0"
"Infralittoral mixed sediment",5.28,0,"0.0","0.0"," 0.0"," 0.0","  0.0","  0.0","  0.0","   0.0","      0.0"
"Circalittoral coarse sediment",4.8,0.09,"0.0","0.0"," 0.0"," 0.0","  0.0","  0.0","  0.0","   0.0","      3.6"
"Circalittoral rock and biogenic reef",4.02,0.01,"0.0","0.0"," 0.0"," 0.0","  0.0","  0.0","  0.0","   0.0","      0.0"
"Infralittoral coarse sediment",1.75,0.01,"0.0","0.0"," 0.0"," 0.0","  0.0","  0.0","  0.0","   0.0","      0.0"
"Infralittoral rock and biogenic reef",1.26,0,"0.0","0.0"," 0.0"," 0.0","  0.0","  0.0","  0.0","   0.0","      0.0"
"Infralittoral sand",1.05,0.01,"0.0","0.0"," 0.0"," 0.0","  0.0","  0.0","  0.0","   0.0","      1.1"
"Offshore circalittoral coarse sediment",0.55,0,"0.0","0.0"," 0.0"," 0.0","  0.0","  0.0","  0.0","   0.0","<0.1"
"Infralittoral mud or Infralittoral sand",0.38,0,"0.0","0.0"," 0.0"," 0.0","  0.0","  0.0","  0.0","   0.0","      0.0"
"Offshore circalittoral sand",0.37,0.61,"0.0","1.0","17.9","56.1","148.7","236.7","307.9"," 405.1","    515.7"
"Infralittoral mud",0.3,0,"0.0","0.0"," 0.0"," 0.0","  0.0","  0.0","  0.0","   0.0","      0.0"
"Offshore circalittoral rock and biogenic reef",0.14,0,"0.0","0.0"," 0.0"," 0.0","  0.0","  0.0","  0.0","   0.0","      0.0"
