"MSFD","HabExt","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",130.55,"0.0","0.3","5.7","18.2","52.1","78.2","137.5","373.5","  1187.2"
"Offshore circalittoral mud or Offshore circalittoral sand",28.01,"0.0","0.0","0.0"," 0.0"," 0.0"," 0.0","  0.0","  0.7","    50.7"
"Circalittoral mixed sediment",26.93,"0.0","0.0","0.0"," 0.0"," 0.0"," 0.0","  0.0","  0.0","     4.5"
"Circalittoral mud or Circalittoral sand",14.74,"0.0","0.0","0.0"," 0.0"," 0.0"," 0.0","  0.0","  8.4","    28.7"
"Offshore circalittoral mixed sediment",14.57,"0.0","0.0","0.0"," 0.0"," 0.0"," 0.0","  0.9"," 44.4","   420.1"
"Circalittoral sand",9.2,"0.0","0.0","0.0"," 0.0"," 0.0"," 1.3","  5.4"," 13.9","    40.2"
"Circalittoral mud",8.76,"0.0","0.0","0.0"," 0.0"," 0.0"," 0.0","  0.0","  4.6","    69.2"
"Offshore circalittoral mud",8.44,"0.0","0.0","0.0"," 0.0"," 0.0"," 0.0"," 34.2","174.2","   409.8"
"Infralittoral mixed sediment",5.28,"0.0","0.0","0.0"," 0.0"," 0.0"," 0.0","  0.0","  0.0","     0.0"
"Circalittoral coarse sediment",4.8,"0.0","0.0","0.0"," 0.0"," 0.0"," 0.0","  0.0","  0.0","     2.0"
"Circalittoral rock and biogenic reef",4.02,"0.0","0.0","0.0"," 0.0"," 0.0"," 0.0","  0.0","  0.0","     0.0"
"Infralittoral coarse sediment",1.75,"0.0","0.0","0.0"," 0.0"," 0.0"," 0.0","  0.0","  0.0","     0.0"
"Infralittoral rock and biogenic reef",1.26,"0.0","0.0","0.0"," 0.0"," 0.0"," 0.0","  0.0","  0.0","     0.0"
"Infralittoral sand",1.05,"0.0","0.0","0.0"," 0.0"," 0.0"," 0.0","  0.0","  0.0","     0.5"
"Offshore circalittoral coarse sediment",0.55,"0.0","0.0","0.0"," 0.0"," 0.0"," 0.0","  0.0","  0.0","<0.1"
"Infralittoral mud or Infralittoral sand",0.38,"0.0","0.0","0.0"," 0.0"," 0.0"," 0.0","  0.0","  0.0","     0.0"
"Offshore circalittoral sand",0.37,"0.0","0.3","5.7","18.2","52.1","77.0"," 97.1","127.3","   161.5"
"Infralittoral mud",0.3,"0.0","0.0","0.0"," 0.0"," 0.0"," 0.0","  0.0","  0.0","     0.0"
"Offshore circalittoral rock and biogenic reef",0.14,"0.0","0.0","0.0"," 0.0"," 0.0"," 0.0","  0.0","  0.0","     0.0"
