"MSFD","HabExt","Totwght","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",130.55,6800.6,"0.0","<0.1","<0.1","0.2"," 0.7"," 1.1"," 2.2"," 7.1","22.4"
"Offshore circalittoral mud or Offshore circalittoral sand",28.01,593,"0.0","   0.0","   0.0","0.0"," 0.0"," 0.0"," 0.0"," 0.6","35.1"
"Circalittoral mixed sediment",26.93,1921.6,"0.0","   0.0","   0.0","0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"
"Circalittoral mud or Circalittoral sand",14.74,544.3,"0.0","   0.0","   0.0","0.0"," 0.0"," 0.0"," 0.0"," 6.5","16.9"
"Offshore circalittoral mixed sediment",14.57,1367.9,"0.0","   0.0","   0.0","0.0"," 0.0"," 0.0"," 0.3"," 8.1","32.5"
"Circalittoral sand",9.2,570.7,"0.0","   0.0","   0.0","0.0"," 0.0"," 0.6"," 2.2"," 5.0","15.5"
"Circalittoral mud",8.76,493.9,"0.0","   0.0","   0.0","0.0"," 0.0"," 0.0"," 0.0"," 3.8","28.7"
"Offshore circalittoral mud",8.44,861.9,"0.0","   0.0","   0.0","0.0"," 0.0"," 0.0"," 5.4","20.2","44.0"
"Infralittoral mixed sediment",5.28,11.6,"0.0","   0.0","   0.0","0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"
"Circalittoral coarse sediment",4.8,213.9,"0.0","   0.0","   0.0","0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 3.6"
"Circalittoral rock and biogenic reef",4.02,7.9,"0.0","   0.0","   0.0","0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"
"Infralittoral coarse sediment",1.75,32.4,"0.0","   0.0","   0.0","0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"
"Infralittoral rock and biogenic reef",1.26,0,"0.0","   0.0","   0.0","0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"
"Infralittoral sand",1.05,4.5,"0.0","   0.0","   0.0","0.0"," 0.0"," 0.0"," 0.0"," 0.0","14.7"
"Offshore circalittoral coarse sediment",0.55,5.5,"0.0","   0.0","   0.0","0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 2.6"
"Infralittoral mud or Infralittoral sand",0.38,0.1,"0.0","   0.0","   0.0","0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"
"Offshore circalittoral sand",0.37,171.3,"0.0","   0.2","   3.2","9.6","27.3","39.7","49.6","65.3","82.8"
"Infralittoral mud",0.3,0.1,"0.0","   0.0","   0.0","0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"
"Offshore circalittoral rock and biogenic reef",0.14,0,"0.0","   0.0","   0.0","0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"
