"MSFD","HabExt","TotVal","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",36.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Offshore circalittoral mud",8.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",6.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Upper bathyal sediment",6.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Circalittoral sand",2.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Circalittoral mixed sediment",2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Offshore circalittoral sand",2.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Offshore circalittoral rock and biogenic reef",1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Circalittoral mud",1.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Circalittoral rock and biogenic reef",1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Offshore circalittoral mixed sediment",0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Infralittoral sand",0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Upper bathyal rock and biogenic reef",0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Infralittoral rock and biogenic reef",0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unknown",0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Infralittoral mixed sediment",0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Offshore circalittoral coarse sediment",0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Infralittoral mud",0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abyssal",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Circalittoral coarse sediment",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lower bathyal sediment",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
