"MSFD","HabExt","SweptArea","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"total",149,100,"   4002.6","  12762.9","  25458.0","  42268.6","  64252.6","  93051.2"," 130084.0"," 176397.3"," 237387.8"
"Offshore circalittoral sand",47.89,101.43,"   1425.2","   4974.6","   9896.0","  15892.1","  23259.0","  31879.6","  42273.7","  54766.1","  71132.8"
"Offshore circalittoral coarse sediment",33.56,91.02,"    583.3","   2214.4","   4741.2","   8570.8","  14034.0","  21802.4","  32696.7","  46424.1","  64264.8"
"Offshore circalittoral mud",25.01,61.48,"   1786.4","   4211.8","   6982.2","  10345.8","  14405.3","  19574.4","  25885.2","  33497.2","  43879.8"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",15.8,25.49,"      0.0","      8.2","     36.4","    141.2","    720.2","   2168.9","   5180.6","   9918.0","  16501.0"
"Upper bathyal sediment",11.32,39.97,"     47.7","    614.6","   2298.6","   4833.3","   8121.6","  12473.3","  17360.8","  23155.8","  30037.6"
"Unknown",5.82,10.1,"    140.7","    665.1","   1309.1","   2128.3","   3127.0","   4209.1","   5329.4","   6501.2","   7971.5"
"Circalittoral coarse sediment",3.13,3.07,"      4.5","     13.9","     30.2","     48.4","     93.3","    150.0","    220.6","    423.3","    880.6"
"Circalittoral rock and biogenic reef",1.78,0.63,"      0.2","      2.4","      7.2","     18.2","     35.1","     57.8","     89.2","    138.1","    230.0"
"Offshore circalittoral rock and biogenic reef",1.49,0.93,"      7.2","     26.1","     57.8","     97.7","    144.5","    200.3","    253.0","    343.3","    496.6"
"Circalittoral sand",0.9,1.46,"      1.2","      4.4","     11.5","     27.1","     40.9","     61.2","    116.9","    262.6","    642.2"
"Infralittoral rock and biogenic reef",0.63,0.08,"      0.0","<0.1","      0.2","      0.5","      0.9","      2.2","      4.1","      8.4","     19.9"
"Infralittoral sand",0.49,1.11,"      0.3","      4.0","     43.6","     91.8","    152.7","    298.7","    419.6","    584.1","    716.0"
"Circalittoral mud",0.49,0.46,"      0.3","      2.0","      5.8","     14.6","     30.0","     53.1","     92.5","    151.4","    240.4"
"Infralittoral coarse sediment",0.43,0.44,"<0.1","      0.5","      1.6","      5.4","     11.4","     29.2","     53.7","    115.5","    203.4"
"Offshore circalittoral mixed sediment",0.11,0.16,"      5.5","     20.3","     35.5","     51.7","     73.1","     86.9","    103.8","    103.8","    162.8"
"Infralittoral mud",0.07,0.01,"      0.0","      0.0","      0.0","<0.1","<0.1","<0.1","      0.1","      0.1","      1.0"
"Infralittoral mixed sediment",0.05,0.01,"      0.0","      0.2","      0.2","      0.2","      0.2","      0.2","      0.2","      0.2","      0.2"
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",0.02,0,"<0.1","      0.2","      0.7","      1.3","      3.1","      3.1","      3.1","      3.1","      4.5"
"Upper bathyal rock and biogenic reef",0.01,0,"<0.1","<0.1","      0.1","      0.1","      0.2","      0.6","      0.6","      0.9","      2.4"
"Lower bathyal sediment",0,0,"<0.1","<0.1","<0.1","<0.1","      0.1","      0.1","      0.1","      0.1","      0.1"
"Circalittoral mixed sediment",0,0,"      0.0","      0.0","      0.0","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
