"MSFD","HabExt","TotVal","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",149,127666,"   2.3","   6.7"," 11.8"," 18.0"," 24.8"," 33.4"," 43.8"," 57.3"," 74.1"
"Offshore circalittoral sand",47.89,32039.2,"   4.4","  10.8"," 16.8"," 23.3"," 31.0"," 39.7"," 49.4"," 61.7"," 76.9"
"Offshore circalittoral coarse sediment",33.56,33370.6,"   2.2","   7.5"," 14.0"," 19.4"," 27.3"," 36.7"," 48.1"," 61.5"," 78.0"
"Offshore circalittoral mud",25.01,21895.3,"   3.3","   9.0"," 15.2"," 25.9"," 31.7"," 38.8"," 48.3"," 59.3"," 73.9"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",15.8,8717.7,"   0.0","<0.1","  0.3","  0.9","  3.5","  9.7"," 22.6"," 41.7"," 66.4"
"Upper bathyal sediment",11.32,17720.7,"<0.1","   1.5","  5.3"," 11.2"," 19.6"," 30.5"," 43.1"," 59.7"," 79.0"
"Unknown",5.82,3463.5,"   1.4","   6.2"," 12.0"," 19.3"," 28.8"," 39.0"," 49.4"," 60.1"," 75.0"
"Circalittoral coarse sediment",3.13,4555.3,"   0.3","   0.7","  1.1","  2.2","  4.8","  9.3"," 14.0"," 22.3"," 37.2"
"Circalittoral rock and biogenic reef",1.78,389.2,"   0.3","   1.5","  4.0","  7.0"," 16.3"," 21.9"," 29.0"," 36.4"," 54.5"
"Offshore circalittoral rock and biogenic reef",1.49,809.8,"   0.7","   2.6","  5.2"," 10.5"," 13.5"," 20.9"," 29.7"," 48.9"," 65.2"
"Circalittoral sand",0.9,1046.2,"   0.2","   0.5","  1.5","  3.4","  4.5","  7.3"," 11.6"," 25.0"," 51.2"
"Infralittoral rock and biogenic reef",0.63,302.7,"   0.0","<0.1","  0.2","  0.7","  0.9","  2.0","  4.7"," 14.6"," 37.9"
"Infralittoral sand",0.49,1585.5,"<0.1","   1.9","  9.0"," 14.4"," 18.1"," 32.8"," 41.0"," 63.4"," 72.8"
"Circalittoral mud",0.49,205.1,"   0.1","   0.6","  1.5","  4.5"," 14.4"," 22.1"," 27.4"," 37.7"," 61.3"
"Infralittoral coarse sediment",0.43,1475.1,"<0.1","<0.1","  0.7","  4.3","  6.7"," 12.3"," 20.3"," 38.2"," 60.5"
"Offshore circalittoral mixed sediment",0.11,70.7,"  10.4","  20.6"," 29.6"," 38.6"," 49.0"," 56.2"," 65.9"," 65.9","100.0"
"Infralittoral mud",0.07,10.9,"   0.0","   0.0","  0.0","  3.3"," 17.5"," 17.5"," 17.8"," 17.8"," 34.5"
"Infralittoral mixed sediment",0.05,5.1,"   0.0"," 100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",0.02,2.1,"   0.9","   4.6"," 13.8"," 22.8"," 71.8"," 71.8"," 71.8"," 71.8","100.0"
"Upper bathyal rock and biogenic reef",0.01,1.1,"   1.6","   1.6","  5.0","  5.0","  6.9"," 25.9"," 25.9"," 36.3","100.0"
"Lower bathyal sediment",0,0.1,"  45.5","  45.5"," 45.5"," 45.5","100.0","100.0","100.0","100.0","100.0"
"Circalittoral mixed sediment",0,0.1,"   0.0","   0.0","  0.0","  4.2"," 12.5"," 51.4"," 51.4","100.0","100.0"
