"MSFD","HabExt","SweptArea","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"total",139.28,100,"3243.8","   9322.9","  17836.9","  29185.3","  43879.6","  62504.9","86105.7","116112.2","157547.4"
"Circalittoral sand",51.22,87.33," 209.1","   1237.2","   3446.5","   6938.4","  11771.6","  18107.5","26144.8"," 36265.1"," 51378.3"
"Offshore circalittoral sand",42.53,61.11,"1276.4","   3732.3","   6400.6","   9605.4","  13376.4","  18122.6","24038.0"," 31376.9"," 40251.8"
"Offshore circalittoral mud",24.24,56.17,"1388.0","   3188.4","   5412.5","   8354.0","  11969.0","  16203.9","21698.1"," 28777.3"," 38892.8"
"Circalittoral coarse sediment",6.92,8.66,"  28.4","    144.6","    356.0","    676.7","   1228.9","   1830.8"," 2704.0","  3882.3","  5251.1"
"Offshore circalittoral coarse sediment",3.52,15.65," 102.3","    341.4","    752.7","   1275.2","   1914.1","   2721.3"," 3820.7","  5426.9","  7749.9"
"Infralittoral sand",3.37,8.26,"  33.4","    194.0","    531.6","    974.1","   1614.6","   2551.8"," 3428.4","  4516.4","  5762.5"
"Circalittoral mud",2.88,4.95,"  98.4","    245.3","    471.3","    657.2","    926.9","   1237.7"," 1655.3","  2121.0","  3161.2"
"Circalittoral mixed sediment",2.48,2.66,"   6.3","     30.9","     86.8","    179.9","    334.6","    480.4","  674.8","  1068.0","  1625.2"
"Unknown",0.85,3.28,"  88.7","    167.3","    297.8","    407.1","    545.2","    920.3"," 1458.9","  2085.6","  2731.8"
"Infralittoral mud",0.6,0.21,"   0.0","      0.0","      0.3","      4.8","     16.7","     22.0","   38.1","    65.1","   117.9"
"Offshore circalittoral mixed sediment",0.42,0.64,"  10.1","     27.0","     62.0","     81.9","    121.2","    204.0","  308.0","   358.3","   419.3"
"Infralittoral coarse sediment",0.11,0.28,"   2.5","     14.4","     18.6","     30.2","     60.0","    101.3","  135.2","   164.6","   185.9"
"Infralittoral mixed sediment",0.06,0.02,"   0.0","<0.1","<0.1","      0.3","      0.3","      1.2","    1.2","     4.4","    12.0"
"Offshore circalittoral rock and biogenic reef",0.04,0.01,"   0.0","      0.0","      0.0","<0.1","<0.1","      0.1","    0.3","     0.3","     1.8"
"Circalittoral rock and biogenic reef",0.04,0.01,"   0.0","      0.0","      0.0","<0.1","<0.1","<0.1","    0.1","     0.2","     5.9"
