"MSFD","HabExt","TotVal","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",139.28,277087.1,"2.0"," 5.7","10.3","  15.8","21.9","29.7","39.0","50.9","68.1"
"Circalittoral sand",51.22,112946.3,"0.5"," 2.6"," 6.0","   9.8","15.0","21.8","29.5","40.1","58.0"
"Offshore circalittoral sand",42.53,62034.5,"3.0"," 7.7","12.3","  17.2","22.9","30.7","41.0","56.0","75.2"
"Offshore circalittoral mud",24.24,41641.7,"4.1"," 9.4","15.2","  21.7","30.1","38.8","49.3","61.6","76.5"
"Circalittoral coarse sediment",6.92,10233.2,"0.4"," 3.6"," 6.2","  14.0","21.0","28.3","39.8","52.4","66.3"
"Offshore circalittoral coarse sediment",3.52,11434.1,"1.3"," 4.0"," 8.2","  13.1","18.9","25.9","35.2","46.4","61.5"
"Infralittoral sand",3.37,21594.1,"2.5","10.5","16.1","  31.2","38.7","49.6","59.3","69.0","81.9"
"Circalittoral mud",2.88,7904.5,"4.7"," 8.8","14.1","  18.6","24.3","30.5","38.7","48.5","69.8"
"Circalittoral mixed sediment",2.48,3269.2,"0.2"," 1.1"," 3.2","   6.8","13.3","22.5","33.4","49.5","68.7"
"Unknown",0.85,3610.8,"3.7"," 5.9","23.8","  27.1","30.3","48.2","66.5","75.8","91.1"
"Infralittoral mud",0.6,877.7,"0.0"," 0.0"," 2.5","  12.0","28.4","36.3","53.5","66.2","87.3"
"Offshore circalittoral mixed sediment",0.42,825,"2.1"," 5.7","12.5","  17.3","20.7","33.2","48.5","63.5","72.6"
"Infralittoral coarse sediment",0.11,682.9,"1.7","20.4","53.9","  57.1","67.8","78.3","82.4","88.7","90.4"
"Infralittoral mixed sediment",0.06,19,"0.0"," 0.8"," 1.1","   1.7"," 1.7"," 6.2"," 6.2","34.0","54.8"
"Offshore circalittoral rock and biogenic reef",0.04,7.6,"0.0"," 0.0"," 0.0","<0.1"," 0.1"," 3.0"," 5.1"," 6.0","24.0"
"Circalittoral rock and biogenic reef",0.04,6.6,"0.0"," 0.0"," 0.0","<0.1"," 0.3"," 0.5"," 0.6"," 0.6","51.5"
