"MSFD","HabExt","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",139.28,"4679.3","12380.2","20975.6","30276.6","39522.4","50850.8","63880.1","79626.1","103151.3"
"Circalittoral sand",51.22," 311.7"," 1648.3"," 3982.1"," 5846.6"," 8571.7","12791.3","17725.4","24776.9"," 37429.1"
"Offshore circalittoral sand",42.53,"1716.4"," 4043.7"," 6052.4"," 8062.3","10530.0","13481.9","16389.1","19691.1"," 23322.9"
"Offshore circalittoral mud",24.24,"2044.9"," 4534.9"," 6819.4"," 8963.3","10997.0","12843.0","15140.6","17373.6"," 19850.7"
"Circalittoral coarse sediment",6.92,"  32.9","  201.3","  363.0","  971.8"," 1388.9"," 1764.6"," 2552.7"," 3442.6","  5011.5"
"Offshore circalittoral coarse sediment",3.52,"  85.1","  258.7","  515.0","  784.0"," 1164.4"," 1606.2"," 2210.0"," 2893.0","  3644.2"
"Infralittoral sand",3.37," 172.7","  880.3"," 1412.6"," 3201.6"," 3805.0"," 4512.0"," 5168.7"," 5862.2","  6796.1"
"Circalittoral mud",2.88," 211.0","  512.9","  849.7"," 1224.6"," 1503.1"," 1704.6"," 1950.5"," 2251.4","  3015.1"
"Circalittoral mixed sediment",2.48,"  13.7","   52.8","  105.3","  206.2","  413.3","  566.4","  763.5"," 1150.7","  1641.9"
"Unknown",0.85,"  69.0","  117.9","  533.8","  615.0","  662.8","  874.8"," 1069.2"," 1167.3","  1324.4"
"Infralittoral mud",0.6,"   0.0","    0.0","    6.9","   36.4","   87.5","  119.2","  166.9","  217.0","   270.0"
"Offshore circalittoral mixed sediment",0.42,"  16.4","   45.2","  126.5","  140.9","  153.2","  218.1","  291.4","  331.0","   356.0"
"Infralittoral coarse sediment",0.11,"   5.6","   84.2","  209.1","  223.5","  245.1","  366.7","  450.0","  464.5","   473.1"
"Infralittoral mixed sediment",0.06,"   0.0"," -100.0"," -100.0","    0.5","    0.5","    0.8","    0.8","    3.6","    12.6"
"Offshore circalittoral rock and biogenic reef",0.04,"   0.0","    0.0","    0.0"," -100.0"," -100.0","    1.2","    1.2","    1.2","     1.6"
"Circalittoral rock and biogenic reef",0.04,"   0.0","    0.0","    0.0"," -100.0"," -100.0"," -100.0"," -100.0"," -100.0","     2.0"
