"MSFD","HabExt","Totwght","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",139.28,155966.8,"3.0"," 7.9","13.4","  19.4","  25.3","32.6","41.0","51.1","66.1"
"Circalittoral sand",51.22,66374.5,"0.5"," 2.5"," 6.0","   8.8","  12.9","19.3","26.7","37.3","56.4"
"Offshore circalittoral sand",42.53,32121,"5.3","12.6","18.8","  25.1","  32.8","42.0","51.0","61.3","72.6"
"Offshore circalittoral mud",24.24,23888.7,"8.6","19.0","28.5","  37.5","  46.0","53.8","63.4","72.7","83.1"
"Circalittoral coarse sediment",6.92,9927.2,"0.3"," 2.0"," 3.7","   9.8","  14.0","17.8","25.7","34.7","50.5"
"Offshore circalittoral coarse sediment",3.52,4934.3,"1.7"," 5.2","10.4","  15.9","  23.6","32.6","44.8","58.6","73.9"
"Infralittoral sand",3.37,8745.2,"2.0","10.1","16.2","  36.6","  43.5","51.6","59.1","67.0","77.7"
"Circalittoral mud",2.88,3631.1,"5.8","14.1","23.4","  33.7","  41.4","46.9","53.7","62.0","83.0"
"Circalittoral mixed sediment",2.48,3476.5,"0.4"," 1.5"," 3.0","   5.9","  11.9","16.3","22.0","33.1","47.2"
"Unknown",0.85,1424.6,"4.8"," 8.3","37.5","  43.2","  46.5","61.4","75.1","81.9","93.0"
"Infralittoral mud",0.6,298,"0.0"," 0.0"," 2.3","  12.2","  29.4","40.0","56.0","72.8","90.6"
"Offshore circalittoral mixed sediment",0.42,445.3,"3.7","10.1","28.4","  31.6","  34.4","49.0","65.4","74.3","79.9"
"Infralittoral coarse sediment",0.11,676.3,"0.8","12.4","30.9","  33.0","  36.2","54.2","66.5","68.7","70.0"
"Infralittoral mixed sediment",0.06,17.9,"0.0"," 0.2"," 0.2","   2.8","   2.8"," 4.2"," 4.2","20.0","70.7"
"Offshore circalittoral rock and biogenic reef",0.04,3.1,"0.0"," 0.0"," 0.0","<0.1","<0.1","37.9","38.9","39.2","51.2"
"Circalittoral rock and biogenic reef",0.04,3.2,"0.0"," 0.0"," 0.0","<0.1","   1.7"," 1.7"," 1.8"," 1.9","62.5"
