"MSFD","HabExt","SweptArea","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"total",16.97,100,"<0.1","   0.3","   1.2"," 2.7","   5.8","12.0","19.5","31.9","50.8"
"Infralittoral sand",7.2,2.43,"   0.0","   0.0","   0.0"," 0.0","<0.1"," 0.8"," 2.9"," 8.7","27.6"
"Infralittoral mixed sediment",2.8,0.43,"   0.0","   0.0","   0.0"," 0.0","   0.0"," 0.2"," 1.2"," 4.0","15.4"
"Circalittoral sand",2.16,2.9,"   0.0","   0.0","<0.1"," 0.4","   1.9"," 7.4","14.8","29.4","51.1"
"Circalittoral mud",1.91,3.56,"<0.1","   0.5","   2.3"," 5.9","  12.1","23.4","35.9","51.7","69.2"
"Infralittoral coarse sediment",0.98,0.21,"   0.0","   0.0","   0.0"," 0.1","   1.9"," 4.1"," 9.1","16.0","36.1"
"Infralittoral mud",0.91,0.18,"   0.0","   0.0","   0.0"," 0.0","   0.0"," 0.3"," 1.5"," 8.2","29.0"
"Circalittoral mixed sediment",0.44,0.27,"   0.0","   0.0","   0.0"," 0.2","   1.0"," 2.7"," 8.7","23.8","46.5"
"Offshore circalittoral mud",0.2,0.42,"   1.1","   3.2","  11.1","16.3","  28.0","42.7","50.6","68.9","81.3"
"Offshore circalittoral sand",0.18,0.15,"   0.0","   0.0","   0.0"," 0.5","   1.6"," 5.7","10.4","24.8","47.2"
"Circalittoral coarse sediment",0.11,0.12,"   0.0","<0.1","   0.9"," 2.1","   6.4","11.6","22.5","41.3","65.8"
"Offshore circalittoral mixed sediment",0.05,0.03,"   0.0","   0.0","   0.0"," 0.0","   0.0"," 0.0"," 0.5"," 6.1","27.5"
"Infralittoral rock and biogenic reef",0.03,0,"   0.0","   0.0","   0.0"," 0.0","   0.0"," 0.0"," 0.0"," 0.0"," 0.0"
"Offshore circalittoral coarse sediment",0,0,"   0.0","   0.0","   0.0"," 0.0","   0.0","13.6","46.5","46.5","46.5"
"Circalittoral rock and biogenic reef",0,0,"   NaN","   NaN","   NaN"," NaN","   NaN"," NaN"," NaN"," NaN"," NaN"
