"MSFD","HabExt","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",16.97,"3.8","    19.8","69.2","161.0","332.4","   697.5","1293.7","2351.5","3633.1"
"Infralittoral sand",7.2,"0.0","     0.0"," 0.0","  0.0","  5.1","    55.4"," 229.5"," 627.2"," 916.1"
"Infralittoral mixed sediment",2.8,"0.0","     0.0"," 0.0","  0.0","  0.0","     2.5","  15.3","  49.6"," 197.2"
"Circalittoral sand",2.16,"0.0","     0.0"," 8.1"," 21.4"," 45.9","   123.6"," 225.9"," 432.4"," 742.3"
"Circalittoral mud",1.91,"1.9","    13.9","41.6","106.5","214.4","   412.2"," 674.6"," 983.5","1347.8"
"Infralittoral coarse sediment",0.98,"0.0","     0.0"," 0.0","  0.5","  6.6","    10.0","  16.9","  25.3","  49.2"
"Infralittoral mud",0.91,"0.0","     0.0"," 0.0","  0.0","  0.0","     1.5","   5.4","  33.8","  95.0"
"Circalittoral mixed sediment",0.44,"0.0","     0.0"," 0.0","  1.4","  4.1","     6.3","  13.0","  32.0","  61.3"
"Offshore circalittoral mud",0.2,"1.9","     5.9","18.9"," 29.0"," 50.1","    73.9","  89.7"," 122.6"," 141.7"
"Offshore circalittoral sand",0.18,"0.0","     0.0"," 0.0","  1.0","  1.7","     4.7","   8.6","  20.1","  37.1"
"Circalittoral coarse sediment",0.11,"0.0","<0.1"," 0.5","  1.4","  4.6","     7.4","  14.4","  23.5","  40.6"
"Offshore circalittoral mixed sediment",0.05,"0.0","     0.0"," 0.0","  0.0","  0.0","     0.0","   0.3","   1.4","   4.8"
"Infralittoral rock and biogenic reef",0.03,"0.0","     0.0"," 0.0","  0.0","  0.0","     0.0","   0.0","   0.0","   0.0"
"Offshore circalittoral coarse sediment",0,"0.0","     0.0"," 0.0","  0.0","  0.0","<0.1","   0.1","   0.1","   0.1"
"Circalittoral rock and biogenic reef",0,"0.0","     0.0"," 0.0","  0.0","  0.0","     0.0","   0.0","   0.0","   0.0"
