"MSFD","HabExt","TotVal","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",16.97,5902.5,"<0.1","0.3"," 1.2"," 2.7"," 5.6","11.8","21.9","39.8","61.6"
"Infralittoral sand",7.2,1473,"   0.0","0.0"," 0.0"," 0.0"," 0.3"," 3.8","15.6","42.6","62.2"
"Infralittoral mixed sediment",2.8,399.7,"   0.0","0.0"," 0.0"," 0.0"," 0.0"," 0.6"," 3.8","12.4","49.3"
"Circalittoral sand",2.16,1357.5,"   0.0","0.0"," 0.6"," 1.6"," 3.4"," 9.1","16.6","31.9","54.7"
"Circalittoral mud",1.91,1922.4,"<0.1","0.7"," 2.2"," 5.5","11.2","21.4","35.1","51.2","70.1"
"Infralittoral coarse sediment",0.98,108.6,"   0.0","0.0"," 0.0"," 0.4"," 6.0"," 9.2","15.6","23.3","45.3"
"Infralittoral mud",0.91,166.3,"   0.0","0.0"," 0.0"," 0.0"," 0.0"," 0.9"," 3.3","20.3","57.1"
"Circalittoral mixed sediment",0.44,141,"   0.0","0.0"," 0.0"," 1.0"," 2.9"," 4.5"," 9.2","22.7","43.5"
"Offshore circalittoral mud",0.2,173.6,"   1.1","3.4","10.9","16.7","28.9","42.6","51.6","70.6","81.6"
"Offshore circalittoral sand",0.18,76.2,"   0.0","0.0"," 0.0"," 1.3"," 2.2"," 6.2","11.3","26.3","48.6"
"Circalittoral coarse sediment",0.11,63.9,"   0.0","0.1"," 0.7"," 2.2"," 7.2","11.6","22.5","36.8","63.4"
"Offshore circalittoral mixed sediment",0.05,19.9,"   0.0","0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.5"," 7.2","24.1"
"Infralittoral rock and biogenic reef",0.03,0.3,"   0.0","0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"
"Offshore circalittoral coarse sediment",0,0.2,"   0.0","0.0"," 0.0"," 0.0"," 0.0"," 7.2","52.5","52.5","52.5"
"Circalittoral rock and biogenic reef",0,0,"   NaN","NaN"," NaN"," NaN"," NaN"," NaN"," NaN"," NaN"," NaN"
