"MSFD","HabExt","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",16.97,"13.2","58.7","146.9","297.2","514.4","1138.3","2679.0","6329.6","8979.0"
"Infralittoral sand",7.2," 0.0"," 0.0","  0.0","  0.0"," 30.7"," 406.7","1569.6","4341.5","5179.3"
"Infralittoral mixed sediment",2.8," 0.0"," 0.0","  0.0","  0.0","  0.0","  19.0"," 100.5"," 360.8","1327.5"
"Circalittoral sand",2.16," 0.0"," 0.0"," 59.7","138.6","175.4"," 225.7"," 292.7"," 432.1"," 645.3"
"Circalittoral mud",1.91,"11.3","53.9"," 73.3","118.1","199.0"," 330.8"," 506.1"," 707.6"," 936.7"
"Infralittoral coarse sediment",0.98," 0.0"," 0.0","  0.0","  3.1"," 47.0","  64.6","  68.6","  74.0","  88.8"
"Infralittoral mud",0.91," 0.0"," 0.0","  0.0","  0.0","  0.0","   7.3","  33.9"," 258.8"," 591.8"
"Circalittoral mixed sediment",0.44," 0.0"," 0.0","  0.0","  9.8"," 17.9","  19.2","  23.3","  33.9","  53.3"
"Offshore circalittoral mud",0.2," 1.8"," 4.6"," 13.4"," 20.4"," 34.5","  51.0","  61.6","  84.1","  97.8"
"Offshore circalittoral sand",0.18," 0.0"," 0.0","  0.0","  6.2","  6.6","   8.6","  10.9","  17.9","  26.2"
"Circalittoral coarse sediment",0.11," 0.0"," 0.2","  0.5","  1.0","  3.2","   5.2","   9.4","  16.0","  27.8"
"Offshore circalittoral mixed sediment",0.05," 0.0"," 0.0","  0.0","  0.0","  0.0","   0.0","   2.4","   3.0","   4.5"
"Infralittoral rock and biogenic reef",0.03," 0.0"," 0.0","  0.0","  0.0","  0.0","   0.0","   0.0","   0.0","   0.0"
"Offshore circalittoral coarse sediment",0," 0.0"," 0.0","  0.0","  0.0","  0.0","<0.1","<0.1","<0.1","<0.1"
"Circalittoral rock and biogenic reef",0," 0.0"," 0.0","  0.0","  0.0","  0.0","   0.0","   0.0","   0.0","   0.0"
