"MSFD";"Greater North Sea";"Kattegat";"Norwegian Trench";"Central North Sea";"Southern North Sea";"Channel";"Baltic Sea";"Bothnian_BS";"GulfF_BS";"GulfR_BS";"Proper_BS";"ArkBor_BS";"Western_BS";"Celtic Seas";"Northern Celtic Sea";"Southern Celtic Sea";"Bay of Biscay and the Iberian Coast";"Gulf of Biscay";"North-Iberian Atlantic";"South-Iberian Atlantic";"Gulf of Cadiz"
"Littoral rock and biogenic reef";"NP";"NP";"NP";"NP";"NP";"NP";"NP";"NP";"NP";"NP";"NP";"NP";"NP";"NP";"NP";"NP";"NP";"NP";"NP";"NP";"NP"
"Littoral sediment";"NP";"NP";"NP";"NP";"NP";"NP";"NP";"NP";"NP";"NP";"NP";"NP";"NP";"NP";"NP";"NP";"NP";"NP";"NP";"NP";"NP"
"Infralittoral rock and biogenic reef";"17.4";"41";"35.1";"NP";"1.2";"0";"93.8";"99.8";"100";"100";"99.9";"61.9";"90.9";"19.7";"35.1";"16.9";"66.1";"39.9";"84.9";"99.8";"89.1"
"Infralittoral coarse sediment";"23.9";"72.9";"11.3";"0";"0.2";"0";"74.6";"96.5";"100";"100";"95.3";"67.1";"37.1";"12.4";"30.5";"8.1";"41.6";"44.7";"78.4";"NP";"21.3"
"Infralittoral mixed sediment";"60.8";"63.8";"86.5";"NP";"14.7";"0";"86.1";"96.6";"100";"100";"98.9";"68.3";"54.7";"33.6";"82.4";"1.7";"52.3";"77.1";"88.8";"97.5";"2.3"
"Infralittoral sand";"42.9";"77.4";"2.4";"0";"7.8";"0.1";"40.6";"96.1";"100";"100";"83.4";"27.4";"44.8";"9.1";"27";"3.8";"64.5";"36.5";"88.1";"99.9";"37.6"
"Infralittoral mud";"44.5";"70.8";"88.3";"NP";"31.4";"0";"68.5";"99.7";"100";"100";"97.4";"7.6";"51.4";"35.2";"43.6";"23.9";"62.1";"60.1";"94.2";"97.6";"33.7"
"Infralittoral mud or Infralittoral sand";"NP";"NP";"NP";"NP";"NP";"NP";"97.4";"93.3";"100";"100";"96.2";"100";"NP";"NP";"NP";"NP";"NP";"NP";"NP";"NP";"NP"
"Circalittoral rock and biogenic reef";"19";"30.9";"26";"NP";"34.4";"0";"97.4";"99.5";"100";"100";"97.1";"33.2";"100";"28.3";"46.9";"6.7";"47.1";"5.2";"64.8";"93.5";"61.1"
"Circalittoral coarse sediment";"3";"42.3";"3.2";"0";"1.3";"0";"84";"97.7";"100";"100";"83";"53.1";"15.4";"32.2";"54.2";"1.8";"3.9";"0.9";"50.8";"100";"5.1"
